zscore_window,coef,clip_name,clip_low,clip_high,Sharpe,Calmar,AnnRet,MaxDD
8,0.3,保守,0.5,1.2,0.8091890866854664,0.676357575190484,0.12410021690400974,-0.18348314775517838
8,0.5,激进,0.1,2.0,0.7935050838401845,0.6463363924114214,0.12085621183708395,-0.18698654950587046
8,0.5,标准,0.3,1.5,0.7935050838401845,0.6463363924114214,0.12085621183708395,-0.18698654950587046
8,0.5,保守,0.5,1.2,0.7935050838401859,0.6463363924114225,0.12085621183708417,-0.18698654950587046
8,0.8,激进,0.1,2.0,0.7790729901517178,0.6220349693041671,0.11665912872878081,-0.18754432545694388
8,0.8,标准,0.3,1.5,0.7790729901517178,0.6220349693041671,0.11665912872878081,-0.18754432545694388
8,0.8,保守,0.5,1.2,0.7802540837414929,0.6232621079670528,0.11688927162155482,-0.18754432545694544
8,1.0,激进,0.1,2.0,0.7722329414535444,0.6166547048981724,0.11427912670973539,-0.18532109753156945
8,1.0,标准,0.3,1.5,0.7726190494692416,0.6171430812554947,0.11436963315228343,-0.18532109753157044
8,1.0,保守,0.5,1.2,0.7776788851313097,0.6231763250967656,0.1154877205226239,-0.18532109753157133
8,1.5,激进,0.1,2.0,0.7471542660478414,0.5982789876921066,0.10754887271890623,-0.179763747234015
8,1.5,标准,0.3,1.5,0.7584932610450674,0.609208873788557,0.10951367000044465,-0.17976374723401423
8,1.5,保守,0.5,1.2,0.7689535101363388,0.6263363993886594,0.11194315120488652,-0.1787268811363183
13,0.3,激进,0.1,2.0,0.8388046353834279,0.7119245688953049,0.12801520359228702,-0.17981568439326168
13,0.3,标准,0.3,1.5,0.8388046353834279,0.7119245688953049,0.12801520359228702,-0.17981568439326168
13,0.3,保守,0.5,1.2,0.8388046353834279,0.7119245688953049,0.12801520359228702,-0.17981568439326168
13,0.5,激进,0.1,2.0,0.830408941891543,0.6933480743374605,0.12533586555029896,-0.18076903966318159
13,0.5,标准,0.3,1.5,0.830408941891543,0.6933480743374605,0.12533586555029896,-0.18076903966318159
13,0.5,保守,0.5,1.2,0.830408941891543,0.6933480743374596,0.12533586555029896,-0.1807690396631818
13,0.8,激进,0.1,2.0,0.8076949102225247,0.6599207289100961,0.11923697175732606,-0.18068377993559015
13,0.8,标准,0.3,1.5,0.8076949102225247,0.6599207289100961,0.11923697175732606,-0.18068377993559015
13,0.8,保守,0.5,1.2,0.8057481102731333,0.6597533402133104,0.1192067273348727,-0.1806837799355907
13,1.0,激进,0.1,2.0,0.7916073049734993,0.6362288979291101,0.1150380725917961,-0.1808123978119175
13,1.0,标准,0.3,1.5,0.7931293119420947,0.6380923921713236,0.11537501545404028,-0.18081239781191882
13,1.0,保守,0.5,1.2,0.794225080524583,0.6426091228139492,0.11603305151379062,-0.1805655217057741
13,1.5,激进,0.1,2.0,0.7459986555244347,0.5787563363878061,0.10477983221326581,-0.18104308432669358
13,1.5,标准,0.3,1.5,0.762757591071256,0.5963800171459988,0.10747035903617297,-0.18020449368923663
13,1.5,保守,0.5,1.2,0.7842849452367419,0.6241172722776818,0.11174136565940151,-0.17903905343239024
26,0.3,激进,0.1,2.0,0.8364066202253114,0.6944410331804182,0.12849064717015812,-0.18502744082055966
26,0.3,标准,0.3,1.5,0.8364066202253114,0.6944410331804182,0.12849064717015812,-0.18502744082055966
26,0.3,保守,0.5,1.2,0.8364066202253114,0.6944410331804182,0.12849064717015812,-0.18502744082055966
26,0.5,激进,0.1,2.0,0.8074176237357321,0.6448869992397478,0.1229410055218787,-0.19063960921341705
26,0.5,标准,0.3,1.5,0.8074176237357321,0.6448869992397478,0.1229410055218787,-0.19063960921341705
26,0.5,保守,0.5,1.2,0.8102370694332378,0.6472736733530862,0.12339600014216523,-0.19063960921341694
26,0.8,激进,0.1,2.0,0.7807506168405178,0.6036973713999834,0.11665157950101501,-0.19322856952399547
26,0.8,标准,0.3,1.5,0.7892507945453858,0.6104142204712658,0.11794946663876749,-0.19322856952399547
26,0.8,保守,0.5,1.2,0.8040620732631562,0.6236259808067578,0.12038438831423903,-0.19303940505894734
26,1.0,激进,0.1,2.0,0.7820702140348079,0.5998577642927029,0.11535277075031147,-0.19230020450985552
26,1.0,标准,0.3,1.5,0.7993144022411868,0.6135621898778257,0.11798813459302138,-0.19230020450985663
26,1.0,保守,0.5,1.2,0.8146890074292792,0.6321931119986531,0.12057924040128776,-0.19073165795824842
26,1.5,激进,0.1,2.0,0.7820880941886119,0.5897568819947416,0.11183355203199641,-0.18962653162052212
26,1.5,标准,0.3,1.5,0.8047606635318483,0.614596567303573,0.11532777647645531,-0.18764793461576634
26,1.5,保守,0.5,1.2,0.8125181840061853,0.631441883640314,0.11758567500256523,-0.18621773127350094
52,0.3,激进,0.1,2.0,0.8310695017845479,0.6799440487708305,0.1272674623543244,-0.18717343373236706
52,0.3,标准,0.3,1.5,0.8310695017845479,0.6799440487708305,0.1272674623543244,-0.18717343373236706
52,0.3,保守,0.5,1.2,0.8310695017845479,0.6799440487708305,0.1272674623543244,-0.18717343373236706
52,0.5,激进,0.1,2.0,0.8030223388372167,0.6296362590671465,0.12170094920727847,-0.1932877077117312
52,0.5,标准,0.3,1.5,0.8030223388372167,0.6296362590671465,0.12170094920727847,-0.1932877077117312
52,0.5,保守,0.5,1.2,0.8122117577559287,0.637141968764318,0.12315171062939445,-0.1932877077117312
52,0.8,激进,0.1,2.0,0.7841386463968189,0.5971833363570622,0.11628840938870133,-0.19472815517272113
52,0.8,标准,0.3,1.5,0.80213850653207,0.6112189291250483,0.11902153447516683,-0.19472815517272113
52,0.8,保守,0.5,1.2,0.8223428667178232,0.6286852472805365,0.12228934979536876,-0.19451601628056003
52,1.0,激进,0.1,2.0,0.7932146712520262,0.59691204524287,0.11588143445505428,-0.1941348568496465
52,1.0,标准,0.3,1.5,0.8148570185036994,0.6137345465387738,0.11914726833598754,-0.1941348568496465
52,1.0,保守,0.5,1.2,0.8292385562043558,0.6331035290333045,0.12189464304638853,-0.19253508700624578
52,1.5,激进,0.1,2.0,0.8072573277291801,0.5948990743413775,0.11420687464508283,-0.19197689082223424
52,1.5,标准,0.3,1.5,0.8215673003377978,0.6144560211216477,0.11666418552951141,-0.18986580246467255
52,1.5,保守,0.5,1.2,0.8217849102561131,0.6260798337097744,0.11797097738750328,-0.188428010352095
