version,zwin,coef,cost_bp,clip_type,clip_low_base,clip_high_base,period,period_start,period_end,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,AnnRet,Vol,DownsideVol,WinRate,PayoffRatio
A_v7_14_v9_dynamic_clip,4,1.5,15,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.8160522492402075,1.0388401633264892,0.6398206483731573,-0.18250695377483883,568,0.11677171749682724,0.14309343256580515,0.11240585570248879,0.48677007299270075,1.0539009044126353
A_v7_14_v9_dynamic_clip,4,1.5,15,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,0.9894934492152556,1.3773128420575673,0.7562804673287649,-0.18250695377483883,228,0.1380264442915844,0.13949202432926663,0.10021430141128047,0.4821583986074848,1.1097310152209627
A_v7_14_v9_dynamic_clip,4,1.5,20,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.7466377987547317,0.9501102923139111,0.5692185510528153,-0.18772804832618672,602,0.10685828766020489,0.14311931144984466,0.1124693506897613,0.4844890510948905,1.0517173218917986
A_v7_14_v9_dynamic_clip,4,1.5,20,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,0.9102917816375996,1.2666710330026292,0.6765643701260968,-0.18772804832618672,266,0.12701010877080798,0.13952681034021744,0.10027079285908352,0.4795474325500435,1.1077186922032474
A_v7_14_v9_dynamic_clip,8,0.8,5,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.9511944637676834,1.21514518770843,0.7696359078829483,-0.18286123917537145,351,0.14073657582933796,0.14795773229364695,0.11581873281722382,0.48950729927007297,1.0636159364338167
A_v7_14_v9_dynamic_clip,8,0.8,5,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,1.0740564552922969,1.4768056798088922,0.861870286469517,-0.18286123917537145,176,0.15760266859224825,0.14673592604530067,0.106718623003023,0.48476936466492604,1.110445276230941
A_v7_14_v9_dynamic_clip,8,0.8,10,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.8894520803854302,1.1351353024729243,0.7012536034065686,-0.1876571975758604,354,0.1315952860052505,0.1479509564452598,0.1159291634385491,0.48905109489051096,1.0548244574223589
A_v7_14_v9_dynamic_clip,8,0.8,10,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,1.0056732562855324,1.38237406564048,0.7863120001709667,-0.1876571975758604,257,0.1475571063723531,0.14672469954839729,0.10674180747451095,0.48389904264577893,1.1024202128673692
A_v7_14_v9_dynamic_clip,8,0.8,15,dynamic,0.5,1.2,Full Sample,2018-01-03,2026-05-29,0.8280233264648367,1.056057384045849,0.6367199710134458,-0.19242786456926586,551,0.12252266435072223,0.14797006368627388,0.11601894575210214,0.48722627737226276,1.0523118442302708
A_v7_14_v9_dynamic_clip,8,0.8,15,dynamic,0.5,1.2,OOS 22-26,2022-01-01,2026-05-29,0.9376544349941601,1.2885279847317375,0.7150397207675722,-0.19242786456926586,262,0.13759356654950805,0.14674229803047326,0.106783529872775,0.4821583986074848,1.0985488050570438
