signal,method,smooth,rebal,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,AnnRet,Vol,DownsideVol,WinRate,PayoffRatio
P_bear,risk_scalar,2,M,1.3576705762600065,2.024077808973945,1.555389716485245,-0.1260112107348742,138,0.19599654133887845,0.1443623694628433,0.096832513290699,0.5258701787394168,1.1359309137906595
P_bear,risk_scalar,4,W,1.3418532424283558,1.9843421029762625,1.488155219895553,-0.12493964953049796,138,0.18592959162073153,0.13856179330330803,0.09369835541052152,0.5258701787394168,1.1341944588637274
P_bear,risk_scalar,4,2W,1.3575350788239036,2.022271413993606,1.5479298041592278,-0.1248056637377668,138,0.19319040662756382,0.1423096976580036,0.09553139370449246,0.5249294449670743,1.1402963496379481
P_bear,risk_scalar,4,M,1.361566626287395,2.0320723863886823,1.562385734560541,-0.12582172915863388,138,0.19658207473518963,0.14437932815025956,0.09673970083543501,0.5258701787394168,1.1365504428804705
P_bear,risk_scalar,8,W,1.3536501250650537,2.007085136558305,1.5093134501517775,-0.12444946324997752,138,0.1878332487473604,0.13876055951927277,0.09358509279255176,0.5258701787394168,1.136076119008556
P_bear,risk_scalar,8,2W,1.3583937573245677,2.0236570680958046,1.5534072665621539,-0.12462894717610218,138,0.19359951216734794,0.14252090833268624,0.09566814220628735,0.5249294449670743,1.1404965254277533
P_bear,risk_scalar,8,M,1.3681485671136848,2.0437933465309692,1.5874582017579426,-0.12449481105153892,138,0.19763030888007083,0.14445091244513136,0.09669779442991067,0.5258701787394168,1.137691277909098
LEVEL,discrete,1,W,1.4066536127081413,2.0856479262505196,1.7011519462865257,-0.09295619972931346,136,0.1581326200889206,0.11241759780823216,0.0758194219161448,0.5258701787394168,1.1452726436637646
LEVEL,discrete,1,2W,1.4066536127081413,2.0856479262505196,1.7011519462865257,-0.09295619972931346,136,0.1581326200889206,0.11241759780823216,0.0758194219161448,0.5258701787394168,1.1452726436637646
LEVEL,discrete,1,M,1.4066536127081353,2.0856479262505125,1.7011519462865163,-0.09295619972931357,136,0.15813262008891993,0.11241759780823217,0.07581942191614474,0.5258701787394168,1.1452726436637637
LEVEL,discrete,2,W,1.4066536127081413,2.0856479262505196,1.7011519462865257,-0.09295619972931346,136,0.1581326200889206,0.11241759780823216,0.0758194219161448,0.5258701787394168,1.1452726436637646
LEVEL,discrete,2,2W,1.4066536127081413,2.0856479262505196,1.7011519462865257,-0.09295619972931346,136,0.1581326200889206,0.11241759780823216,0.0758194219161448,0.5258701787394168,1.1452726436637646
LEVEL,discrete,2,M,1.4066536127081353,2.0856479262505125,1.7011519462865163,-0.09295619972931357,136,0.15813262008891993,0.11241759780823217,0.07581942191614474,0.5258701787394168,1.1452726436637637
LEVEL,discrete,4,W,1.4066536127081413,2.0856479262505196,1.7011519462865257,-0.09295619972931346,136,0.1581326200889206,0.11241759780823216,0.0758194219161448,0.5258701787394168,1.1452726436637646
LEVEL,discrete,4,2W,1.4066536127081413,2.0856479262505196,1.7011519462865257,-0.09295619972931346,136,0.1581326200889206,0.11241759780823216,0.0758194219161448,0.5258701787394168,1.1452726436637646
LEVEL,discrete,4,M,1.4066536127081353,2.0856479262505125,1.7011519462865163,-0.09295619972931357,136,0.15813262008891993,0.11241759780823217,0.07581942191614474,0.5258701787394168,1.1452726436637637
LEVEL,discrete,8,W,1.4066536127081413,2.0856479262505196,1.7011519462865257,-0.09295619972931346,136,0.1581326200889206,0.11241759780823216,0.0758194219161448,0.5258701787394168,1.1452726436637646
LEVEL,discrete,8,2W,1.4066536127081413,2.0856479262505196,1.7011519462865257,-0.09295619972931346,136,0.1581326200889206,0.11241759780823216,0.0758194219161448,0.5258701787394168,1.1452726436637646
LEVEL,discrete,8,M,1.4066536127081353,2.0856479262505125,1.7011519462865163,-0.09295619972931357,136,0.15813262008891993,0.11241759780823217,0.07581942191614474,0.5258701787394168,1.1452726436637637
LEVEL,linear,1,W,1.3632899055993093,2.0383703933541937,1.5708490236524992,-0.12676658992572154,138,0.19913117401657643,0.14606663865015368,0.09769135907086086,0.5258701787394168,1.1365625037141067
LEVEL,linear,1,2W,1.3632899055993093,2.0383703933541937,1.5708490236524992,-0.12676658992572154,138,0.19913117401657643,0.14606663865015368,0.09769135907086086,0.5258701787394168,1.1365625037141067
LEVEL,linear,1,M,1.363289905599305,2.0383703933541875,1.57084902365249,-0.12676658992572187,138,0.19913117401657576,0.14606663865015365,0.09769135907086084,0.5258701787394168,1.1365625037141067
LEVEL,linear,2,W,1.3632899055993093,2.0383703933541937,1.5708490236524992,-0.12676658992572154,138,0.19913117401657643,0.14606663865015368,0.09769135907086086,0.5258701787394168,1.1365625037141067
LEVEL,linear,2,2W,1.3632899055993093,2.0383703933541937,1.5708490236524992,-0.12676658992572154,138,0.19913117401657643,0.14606663865015368,0.09769135907086086,0.5258701787394168,1.1365625037141067
LEVEL,linear,2,M,1.363289905599305,2.0383703933541875,1.57084902365249,-0.12676658992572187,138,0.19913117401657576,0.14606663865015365,0.09769135907086084,0.5258701787394168,1.1365625037141067
LEVEL,linear,4,W,1.3632899055993093,2.0383703933541937,1.5708490236524992,-0.12676658992572154,138,0.19913117401657643,0.14606663865015368,0.09769135907086086,0.5258701787394168,1.1365625037141067
LEVEL,linear,4,2W,1.3632899055993093,2.0383703933541937,1.5708490236524992,-0.12676658992572154,138,0.19913117401657643,0.14606663865015368,0.09769135907086086,0.5258701787394168,1.1365625037141067
LEVEL,linear,4,M,1.363289905599305,2.0383703933541875,1.57084902365249,-0.12676658992572187,138,0.19913117401657576,0.14606663865015365,0.09769135907086084,0.5258701787394168,1.1365625037141067
LEVEL,linear,8,W,1.3632899055993093,2.0383703933541937,1.5708490236524992,-0.12676658992572154,138,0.19913117401657643,0.14606663865015368,0.09769135907086086,0.5258701787394168,1.1365625037141067
LEVEL,linear,8,2W,1.3632899055993093,2.0383703933541937,1.5708490236524992,-0.12676658992572154,138,0.19913117401657643,0.14606663865015368,0.09769135907086086,0.5258701787394168,1.1365625037141067
LEVEL,linear,8,M,1.363289905599305,2.0383703933541875,1.57084902365249,-0.12676658992572187,138,0.19913117401657576,0.14606663865015365,0.09769135907086084,0.5258701787394168,1.1365625037141067
LEVEL,risk_scalar,1,W,1.3632899055993093,2.0383703933541937,1.5708490236524992,-0.12676658992572154,138,0.19913117401657643,0.14606663865015368,0.09769135907086086,0.5258701787394168,1.1365625037141067
