Strategy,Full 18-26_Sharpe,Full 18-26_Calmar,Full 18-26_MaxDD,Full 18-26_AnnRet,Full 18-26_Vol,Full 18-26_WinRate,Full 18-26_TotalRet,OOS 21-26_Sharpe,OOS 21-26_Calmar,OOS 21-26_MaxDD,OOS 21-26_AnnRet,OOS 21-26_Vol,OOS 21-26_WinRate,OOS 21-26_TotalRet,OOS 22-26_Sharpe,OOS 22-26_Calmar,OOS 22-26_MaxDD,OOS 22-26_AnnRet,OOS 22-26_Vol,OOS 22-26_WinRate,OOS 22-26_TotalRet,Slow Bear 22_Sharpe,Slow Bear 22_Calmar,Slow Bear 22_MaxDD,Slow Bear 22_AnnRet,Slow Bear 22_Vol,Slow Bear 22_WinRate,Slow Bear 22_TotalRet,924 周期 24-08~24-10_Sharpe,924 周期 24-08~24-10_Calmar,924 周期 24-08~24-10_MaxDD,924 周期 24-08~24-10_AnnRet,924 周期 24-08~24-10_Vol,924 周期 24-08~24-10_WinRate,924 周期 24-08~24-10_TotalRet,2025 慢牛_Sharpe,2025 慢牛_Calmar,2025 慢牛_MaxDD,2025 慢牛_AnnRet,2025 慢牛_Vol,2025 慢牛_WinRate,2025 慢牛_TotalRet
v6 全风控,0.8259413725620056,0.5069570812736677,-0.2593882434450747,0.13149870681361864,0.15921070330418238,0.4671852211959164,1.741333833749069,0.8218259593729572,0.7056233257434141,-0.17492427466844163,0.12343064844480023,0.15019073933728772,0.5197978096040438,0.7301707574359777,0.7705844282176323,0.6681675325306102,-0.17492427466844163,0.11687872098491936,0.15167542543684764,0.518450184501845,0.608800053487544,-0.5106608990104631,-0.4818819295930122,-0.15776622726258127,-0.07602469401790235,0.14887510315596858,0.45643153526970953,-0.07283011547394991,2.477759603290153,10.141776264993657,-0.03518975221720777,0.35688659380748566,0.1440360046767996,0.5172413793103449,0.07276860574146649,2.0943857024369352,2.8105244007884713,-0.12934665203986195,0.36353192171832793,0.17357448596757424,0.5702479338842975,0.3468568772481526
v8 method_b (有未来),1.2058196032502286,1.051597404842162,-0.11659833420066457,0.12261450565433796,0.10168561310816018,0.4648722627737226,1.7348084940993136,1.0455780669744708,0.9391959309350209,-0.11659833420066457,0.10950868103506584,0.10473505947953253,0.4837172359015091,0.6806389827796604,1.0529825303580809,0.9386929633480822,-0.11659833420066457,0.10945003585227187,0.10394287910460576,0.48389904264577893,0.6057201355891011,0.6079456693841024,0.7820508363863451,-0.0638205178089124,0.049910889331069574,0.08209761471223785,0.4826254826254826,0.05133230113941445,-1.6544704353973312,-2.8783324534772796,-0.055905748231614205,-0.1609153294709852,0.09726092774352924,0.36923076923076925,-0.04424466536368843,2.5227917939291147,5.006136783152618,-0.06933190691399649,0.34708500944827114,0.13757972825323989,0.5346153846153846,0.3598868717605741
v8 prob 3state 10bp,0.7666741376071192,0.43699788687432073,-0.17351640624273268,0.07582630286610037,0.09890290952393835,0.4949817518248175,0.8884539169655479,0.6341595746562979,0.3650878684674255,-0.17351640624273268,0.06334873489928716,0.09989399739587775,0.4908657664813344,0.3591667372364937,0.7106007743821993,0.4151148213545422,-0.17351640624273268,0.07202923197953415,0.10136385235740393,0.49521322889469105,0.3731811677000756,0.21671534842412446,0.373806606081737,-0.05004365046091164,0.018706647134734133,0.08631897680880518,0.5019305019305019,0.01923124148123656,-0.23817132009087633,-0.46835296178218316,-0.08200837987735932,-0.038408867606519626,0.16126571239502888,0.5076923076923077,-0.01005146792766265,2.5206977230738374,4.411114561446866,-0.0615408617742762,0.2714637914964986,0.10769390911555433,0.5230769230769231,0.2811949994560199
v8 prob 2state 10bp,0.756251780206176,0.4312720160598798,-0.16195583911086808,0.06984702124601361,0.09235948010194607,0.4954379562043796,0.7990866853900005,0.6110840149884839,0.354987544754477,-0.16195583911086808,0.05749230568461816,0.0940824899268583,0.4908657664813344,0.32217743961373535,0.6895806825443135,0.4065334159385253,-0.16195583911086808,0.06584046050493142,0.09547898044649825,0.49521322889469105,0.3374059677027941,0.20267968203161163,0.3464831486657938,-0.047094735027339074,0.01631753207785369,0.08050896821176516,0.5057915057915058,0.016774577724721906,-0.22705905121551448,-0.44523648719135606,-0.07846410201416887,-0.03493508115141275,0.15385901140868374,0.5076923076923077,-0.00913026180691412,2.457373613067411,4.32398828814134,-0.05751090089097988,0.24867646189305437,0.10119603326522439,0.5230769230769231,0.25751110084335127
v8 per-asset 5bp,0.9425299786676246,0.7086514709078097,-0.21642068656731395,0.15336683787080507,0.16271825972857318,0.4904197080291971,2.45954148561333,0.8448574281931608,0.7163259070148785,-0.1813531092818884,0.1299079304963171,0.15376313939044411,0.4837172359015091,0.8407923290908135,1.0243962141136533,0.8928123906312307,-0.17585977569694455,0.15700978675586108,0.15327056522920865,0.4856396866840731,0.9444049042171501,0.07419370802104663,0.08578193265309224,-0.12649840974666393,0.010851278065611591,0.14625604185375657,0.444015444015444,0.011154377425115714,0.7744835631733341,1.927675125809551,-0.06672264595497102,0.1286195849355949,0.1660714197840362,0.5230769230769231,0.03170120997775361,2.4402331485617443,3.6488334431292553,-0.11275273634392702,0.41141595517605634,0.16859698648817303,0.5346153846153846,0.42694086535768605
v9 银河方案-动态仓位,0.8346253901969304,0.5711325916207652,-0.17285549487813912,0.09872340676564151,0.11828469146181578,0.4885948905109489,1.268109275649945,0.8247218813900704,0.5847404222259078,-0.1454351081912627,0.08504178657022954,0.10311571511464135,0.4813343923749007,0.5034592402375078,0.9160185484190954,0.7876785934565849,-0.12458175156397089,0.09813037884226627,0.10712706528882407,0.4830287206266319,0.5323658076062754,-0.6942239308818109,-0.6760394758251764,-0.12458175156397089,-0.08422218202468923,0.12131846552409867,0.43243243243243246,-0.08645754677875495,3.82252968041922,16.230128975128043,-0.042347015679808364,0.6872975261950593,0.1798017500598407,0.49230769230769234,0.14446107432005872,2.0752344477134215,3.011471894928526,-0.06848578730874322,0.20624302368233294,0.09938299930862268,0.5153846153846153,0.21344486119922146
v9 银河因子配置,0.6561588524999981,0.37181199241273505,-0.2574581091524033,0.09572601252677049,0.14588847222292223,0.48905109489051096,1.2148490697310357,0.5071697705479269,0.311462729550026,-0.24853869851278554,0.07741054143760318,0.15263240424201896,0.48212867355043687,0.4513682058104418,0.5926376612815941,0.4257104072652809,-0.21574812803258636,0.09184622345147431,0.15497871541416133,0.48389904264577893,0.4927880838528724,-0.98975853024471,-0.8253396479300398,-0.21574812803258636,-0.17806548403197997,0.17990800643865598,0.43243243243243246,-0.18253044806454344,3.0609969650568902,12.765764914209766,-0.05636015401219707,0.7194804766483642,0.23504775890393353,0.49230769230769234,0.15005217700085782,1.5331427449843478,1.7212718094018649,-0.1456485535804415,0.250700749358171,0.16352081381745734,0.5192307692307693,0.25961448241649054
v9 等权基准,0.556136982385279,0.3224573999749953,-0.26247264609970966,0.08463624702586947,0.15218597163393716,0.4762773722627737,1.0272895606262056,0.3599817864385666,0.22550243945410062,-0.26020123705957754,0.05867601370590947,0.1629971735137298,0.4598888006354249,0.3295880434942726,0.38360622596406874,0.26286907612138766,-0.24350843228995223,0.06401083662382723,0.16686600031831322,0.45691906005221933,0.32697017490538505,-0.797226631294594,-0.6762062418577923,-0.2183640453759692,-0.14765913048054857,0.1852160034352704,0.42084942084942084,-0.1514334555683895,2.842543073970443,9.584299544944647,-0.08297867512869872,0.7952924782760968,0.27978203234937726,0.5076923076923077,0.16292243495170822,1.7246266216081312,2.1947446437130402,-0.124765217506283,0.27382779284360703,0.1587751165456763,0.5038461538461538,0.2836527883307023
⭐ v8+v9 macro 5bp (NEW),0.9477090089250603,0.7459648169826483,-0.18067254542762778,0.13477536228370957,0.14221175594455795,0.48905109489051096,2.003509114871025,1.0143366215009744,0.8119229435507812,-0.17291315114269412,0.14039215465441734,0.1384078536439616,0.482922954725973,0.9277233101836819,1.1646359884029458,0.9375577591552225,-0.17291315114269412,0.1621160665138126,0.1391989154792656,0.48476936466492604,0.9838401415318527,0.4723521979608917,0.7616797072275256,-0.06973103626655563,0.053112715288182066,0.11244303618669628,0.444015444015444,0.054627661311857256,0.7253692355031671,1.5643495155154823,-0.07779951619895675,0.12170563547317692,0.16778439106085513,0.5230769230769231,0.030067274504495645,2.257561594280266,2.789086574905645,-0.12950936385942347,0.3612128280648883,0.16000131689875188,0.5346153846153846,0.37460415823933757
v8+v9 macro 10bp (NEW),0.8782088523005485,0.6903503484729508,-0.180878800109177,0.12486974268673956,0.14218684127315712,0.48905109489051096,1.7829687546534698,0.9348241317610814,0.7258998984687736,-0.1782214507794453,0.12937093302575686,0.1383906647574872,0.482922954725973,0.8364256952691869,1.085103463958908,0.8473427497860034,-0.1782214507794453,0.15101465417430604,0.13917074195242346,0.48476936466492604,0.8988891066686193,0.3900015233803195,0.6106153615963202,-0.0717725345060023,0.043825412110066964,0.11237241262601311,0.444015444015444,0.045069820401008265,0.6758026675796406,1.4566529897081217,-0.07779951619895675,0.11332689786905581,0.16769229141241987,0.5230769230769231,0.02807712685622188,2.170527773867191,2.664375047089717,-0.1303806994428417,0.3473830822176116,0.1600454444306351,0.5346153846153846,0.36019733087394434
沪深300 (benchmark),0.11248039091583517,0.045735401632207545,-0.45602620484864664,0.020856541633564207,0.1854238011065446,0.4667274384685506,0.19687817775265537,-0.010076244809752876,-0.004474804770564098,-0.37856592214561,-0.0016940085943901728,0.16811903902439218,0.4527402700555997,-0.00843472370633569,-0.006698530426401916,-0.0032048316043695097,-0.3575848363483304,-0.0011459991847724282,0.17108217949649537,0.4525674499564839,-0.005214563614900469,-1.0527379448129424,-0.7246120169593756,-0.28652483679934826,-0.20761933990213166,0.19721844446200035,0.42857142857142855,-0.2127249748986586,2.011990555298279,5.917606125049785,-0.1099304334333423,0.650525006214524,0.32332408544436897,0.4461538461538462,0.13797490959026026,1.41585406040552,1.951626509952898,-0.1049151556742759,0.20475519910975204,0.14461603412085236,0.5192307692307693,0.21190066933389584
