Strategy,Period,Start,End,AnnRet,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,Vol,DownsideVol,WinRate,PayoffRatio,N_Days
v7.10 TV-PR (5bp),2022 慢熊,2022-01-01,2022-12-31,0.043384789452142636,0.20613456553592363,0.35880525803636376,0.2902735141488281,-0.14946175705820175,90,0.21046828967935438,0.12091458661886645,0.4896265560165975,1.0960066784150042,242
v7.10 TV-PR (5bp),2023 慢熊延续,2023-01-01,2023-12-31,0.047954583705778875,0.3462787205710624,0.5325494809994133,0.3669975934392734,-0.13066729745113126,102,0.13848550562591605,0.0900471888842789,0.5145228215767634,1.0107741700087203,242
v7.10 TV-PR (10bp),Full Sample,2018-01-03,2026-05-29,0.18681534178277226,0.9424925276752933,1.3257890845393567,0.9094543575862221,-0.20541475251006314,375,0.198214135706266,0.14090879458981287,0.515970515970516,1.1034377457671767,2036
v7.10 TV-PR (10bp),OOS 22-26,2022-01-01,2026-05-29,0.21848939007112778,1.064505672740185,1.5822566587584435,1.4165811374659478,-0.15423711659889294,136,0.20524962493502347,0.1380871989772954,0.5183443085606774,1.1254785319583196,1064
v7.10 TV-PR (10bp),2018 贸易战大跌,2018-01-22,2018-12-28,-0.14071048118452312,-1.5101663850630545,-2.042629647491191,-1.0232389413821232,-0.13751478319859556,226,0.09317548223578555,0.0688869278664134,0.4342105263157895,0.9890587421346514,229
v7.10 TV-PR (10bp),2019 春燥行情,2019-01-02,2019-04-26,0.7040912968315083,2.983176831043237,4.412769701885594,9.949542126853242,-0.07076620088186836,15,0.23602063729667772,0.1595576801868104,0.5263157894736842,1.3980536904182657,77
v7.10 TV-PR (10bp),2020 疫情牛,2020-03-23,2021-02-10,0.6365733460035301,2.8122255300132846,4.115256358245903,5.9842204209782635,-0.10637531728810667,100,0.22635927994029803,0.1546861946347529,0.5707762557077626,1.099653803170336,220
v7.10 TV-PR (10bp),2021 白马崩盘,2021-09-13,2022-04-29,-0.2803207526232325,-1.535412716224098,-2.4107493533894604,-1.4051098385377396,-0.19950095354463881,149,0.18257029504913835,0.11627950961766628,0.47651006711409394,0.8271141815042021,150
v7.10 TV-PR (10bp),2022 慢熊,2022-01-01,2022-12-31,0.013880606105516335,0.06584132686351064,0.11437063056610457,0.08999523857551137,-0.15423711659889294,101,0.21081905190475417,0.12136512701565938,0.4896265560165975,1.0718214359756035,242
v7.10 TV-PR (10bp),2023 慢熊延续,2023-01-01,2023-12-31,0.018968610096040228,0.13680683072494818,0.21046359493143024,0.1364433210495341,-0.1390219026488948,102,0.13865250730189674,0.09012774918256179,0.5103734439834025,0.9930483670750423,242
v7.10 TV-PR (15bp),Full Sample,2018-01-03,2026-05-29,0.15754536338153047,0.795158793293126,1.1170638370664112,0.7132885513717224,-0.22087185204158344,449,0.1981306937813781,0.14103523733725895,0.5110565110565111,1.100112939569695,2036
v7.10 TV-PR (15bp),OOS 22-26,2022-01-01,2026-05-29,0.18370031537465858,0.8950485694546165,1.3295710642124652,1.155429236893647,-0.15898880650496083,151,0.20524061111744296,0.13816509724019033,0.5117591721542804,1.1265185374765774,1064
v7.10 TV-PR (15bp),2018 贸易战大跌,2018-01-22,2018-12-28,-0.14108673025730978,-1.5142294292226448,-2.0488229799943762,-1.0237504836067535,-0.13781359082757172,226,0.09317394546329683,0.06886233297602755,0.4342105263157895,0.9883102218911741,229
v7.10 TV-PR (15bp),2019 春燥行情,2019-01-02,2019-04-26,0.6802342744058933,2.8897496107032468,4.258804087373454,9.528763456934215,-0.07138746569586396,15,0.23539557610334003,0.15972424663126883,0.5263157894736842,1.382413934179607,77
v7.10 TV-PR (15bp),2020 疫情牛,2020-03-23,2021-02-10,0.5881738112447885,2.603224553164313,3.806733448799016,5.373403985300613,-0.10946018815145597,100,0.22594048236439768,0.15450879846350973,0.5662100456621004,1.0963271957437937,220
v7.10 TV-PR (15bp),2021 白马崩盘,2021-09-13,2022-04-29,-0.3024064936718679,-1.6521074502739737,-2.566145502537012,-1.4123323884456238,-0.21411850081883954,149,0.18304287267860148,0.11784464028750302,0.46308724832214765,0.8488294247088438,150
