version,zwin,coef,cost_bp,clip_type,period,Sharpe,Sortino,Calmar,MaxDD,MaxDDDays,AnnRet,Vol,DownsideVol,WinRate,PayoffRatio
A+_v7_10_v9_dynamic_clip,13,0.8,20,dynamic,Full Sample,1.0099221390876818,1.3608605473860562,0.7875789599451559,-0.20819596513617455,587,0.1639707616867263,0.16235980511809567,0.12049049551894328,0.5135135135135135,1.1299340547519816
A+_v7_10_v9_dynamic_clip,13,0.8,20,dynamic,OOS 22-26,1.0394988983213191,1.5835430674399065,0.9868639308934045,-0.1668640039680913,347,0.16467206688056324,0.15841485464437838,0.10398963581507539,0.5032925682031985,1.1933929204552665
A+_v7_10_v9_dynamic_clip,13,1.0,5,dynamic,Full Sample,1.190978757532129,1.5999715052748067,1.0516719167133612,-0.180048963926579,425,0.18935243899492016,0.15898893057277053,0.11834738204440554,0.5194103194103195,1.1365877743412771
A+_v7_10_v9_dynamic_clip,13,1.0,5,dynamic,OOS 22-26,1.2692451228012245,1.9397003516660878,1.3295852918022883,-0.1477719321661377,329,0.19647538754930216,0.15479703961019042,0.10129161825461414,0.510818438381938,1.2013814997551715
A+_v7_10_v9_dynamic_clip,13,1.0,10,dynamic,Full Sample,1.1264010671035565,1.5124816283610716,0.9553949655855637,-0.18740480319317276,429,0.17904560549731063,0.15895368952171807,0.11837869772429888,0.5184275184275184,1.1295648264726188
A+_v7_10_v9_dynamic_clip,13,1.0,10,dynamic,OOS 22-26,1.1962646646874204,1.8276980656167143,1.205701020227464,-0.1535315832139127,330,0.18511318651815234,0.15474266856032376,0.10128214829383768,0.510818438381938,1.1878764396046133
A+_v7_10_v9_dynamic_clip,13,1.0,15,dynamic,Full Sample,1.0621411074335556,1.4259380063445928,0.8607874468172191,-0.19612588514884066,568,0.1688226999320377,0.1589456417330112,0.1183941371790885,0.5164619164619164,1.1269845873529962
A+_v7_10_v9_dynamic_clip,13,1.0,15,dynamic,OOS 22-26,1.1236612391319918,1.7166270582668879,1.0916616525746852,-0.15925515140716362,347,0.17385274176617593,0.154719888620946,0.10127577852681538,0.5079962370649106,1.187805087355156
A+_v7_10_v9_dynamic_clip,13,1.0,20,dynamic,Full Sample,0.998227845903497,1.3407428505803032,0.7749786062230548,-0.20475801519724524,575,0.15868308123056019,0.1589647913367273,0.11835459809603209,0.5125307125307126,1.1332743402667629
A+_v7_10_v9_dynamic_clip,13,1.0,20,dynamic,OOS 22-26,1.0514738442025129,1.6068489470259057,0.9863610327220457,-0.16494284552285166,348,0.1626931954500328,0.15472871374506417,0.10124983792108111,0.5023518344308561,1.20110617302295
A+_v7_10_v9_dynamic_clip,13,1.5,5,dynamic,Full Sample,1.2066893183625949,1.6167013213400687,1.033169901962721,-0.17986174356601425,407,0.18582773996694302,0.15399799860588817,0.11494252989965525,0.5194103194103195,1.1413044726528416
A+_v7_10_v9_dynamic_clip,13,1.5,5,dynamic,OOS 22-26,1.2951023127998287,1.9860144795910981,1.3764576653803655,-0.1407684673497802,303,0.19376183592745067,0.14961121913879136,0.0975631537023559,0.5117591721542804,1.2034165342262906
A+_v7_10_v9_dynamic_clip,13,1.5,10,dynamic,Full Sample,1.1402389102696815,1.5271238074909255,0.9742393833025935,-0.1802208398837266,427,0.17557823990659727,0.15398372948443823,0.11497315348326176,0.5174447174447174,1.1383115512546647
A+_v7_10_v9_dynamic_clip,13,1.5,10,dynamic,OOS 22-26,1.219845753339262,1.870170303081125,1.2495624011234374,-0.14601389888033978,329,0.18245347808231216,0.14957094172181656,0.0975598199702552,0.5098777046095955,1.198351688308258
A+_v7_10_v9_dynamic_clip,13,1.5,15,dynamic,Full Sample,1.0741267043874239,1.4383840087984088,0.9079398264431342,-0.18218397107383455,448,0.16541208307749833,0.1539968072684992,0.11499855536886815,0.514987714987715,1.1375001314900388
A+_v7_10_v9_dynamic_clip,13,1.5,15,dynamic,OOS 22-26,1.1449786290083412,1.7552973311512956,1.130435699497839,-0.15148690762728723,330,0.17124620838841698,0.14956279885916493,0.09755965861128324,0.5061147695202258,1.202240980361831
A+_v7_10_v9_dynamic_clip,13,1.5,20,dynamic,Full Sample,1.0083837395804816,1.3502406242458693,0.815017050217069,-0.19058329262126683,569,0.15532863297284139,0.1540372249928017,0.11503774229841061,0.5125307125307126,1.1366222589495545
A+_v7_10_v9_dynamic_clip,13,1.5,20,dynamic,OOS 22-26,1.0705435247146438,1.6412521239181963,1.0204656482285699,-0.15692755155749671,347,0.1601391756250432,0.14958679579863765,0.09757134403137253,0.5023518344308561,1.206042437397245
