k,eta,tau,marginal,pa_std,worst10,extreme,width_bps,score,runtime_s
4,0.5,30,0.9933666811657242,0.008068910109319509,0.9724517906336088,0.9852631578947368,819.0979135847206,8.993189114816051,0.6029040813446045
2,1.0,20,0.9976076555023924,0.004363801656886774,0.9862258953168045,1.0,1102.5082089648433,8.875672782750723,0.6189563274383545
2,1.0,45,0.9976076555023924,0.004363801656886774,0.9862258953168045,1.0,1102.5082089648433,8.875672782750723,0.5866830348968506
2,1.0,60,0.9976076555023924,0.004363801656886774,0.9862258953168045,1.0,1102.5082089648433,8.875672782750723,0.5730667114257812
2,1.0,90,0.9976076555023924,0.004363801656886774,0.9862258953168045,1.0,1102.5082089648433,8.875672782750723,0.5738029479980469
2,1.0,180,0.9976076555023924,0.004363801656886774,0.9862258953168045,1.0,1102.5082089648433,8.875672782750723,0.5886995792388916
4,1.0,45,0.9976076555023924,0.004363801656886774,0.9862258953168045,1.0,1102.5082089648433,8.875672782750723,0.592909574508667
4,1.0,30,0.9976076555023924,0.004363801656886774,0.9862258953168045,1.0,1102.5082089648433,8.875672782750723,0.5915307998657227
4,1.0,20,0.9976076555023924,0.004363801656886774,0.9862258953168045,1.0,1102.5082089648433,8.875672782750723,0.5991232395172119
2,1.0,120,0.9976076555023924,0.004363801656886774,0.9862258953168045,1.0,1102.5082089648433,8.875672782750723,0.5800349712371826
2,1.0,30,0.9976076555023924,0.004363801656886774,0.9862258953168045,1.0,1102.5082089648433,8.875672782750723,0.6003377437591553
4,1.0,60,0.9976076555023924,0.004363801656886774,0.9862258953168045,1.0,1102.5082089648433,8.875672782750723,0.5922834873199463
4,1.0,180,0.9976076555023924,0.004363801656886774,0.9862258953168045,1.0,1102.5082089648433,8.875672782750723,0.571613073348999
4,1.0,90,0.9976076555023924,0.004363801656886774,0.9862258953168045,1.0,1102.5082089648433,8.875672782750723,0.6158931255340576
4,1.0,120,0.9976076555023924,0.004363801656886774,0.9862258953168045,1.0,1102.5082089648433,8.875672782750723,0.5946493148803711
4,0.3,30,0.9852109612875163,0.012912062184037338,0.9545454545454546,0.9494736842105264,735.1310733189448,8.695045457866131,0.6044349670410156
4,0.3,20,0.9852109612875163,0.012912062184037338,0.9545454545454546,0.9494736842105264,735.1310733189448,8.695045457866131,0.5978884696960449
2,0.3,120,0.9852109612875163,0.012912062184037338,0.9545454545454546,0.9494736842105264,735.1310733189448,8.695045457866131,0.5659365653991699
