date,w_target,w_adj,w_prev,turnover,cost,port_ret,alert_level,applied_scale,width_z,stress,is_month_end,is_monday,days_since_month_end
2024-09-23,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.004158004158004269,green,1.0,-0.7047859550623053,0.00019970392969991422,False,True,24
2024-09-24,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.00552104899930983,green,1.0,0.0,0.0,False,False,25
2024-09-25,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.007633587786259666,green,1.0,0.0,0.0,False,False,26
2024-09-26,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.010489510489510634,green,1.0,0.0,0.0,False,False,27
2024-09-27,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.02145328719723194,green,1.0,0.0,0.0,False,False,28
2024-09-30,"{'510300': 0.0, '513100': 0.0, '518880': 1.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",2.0,0.002,-0.0016780958856533745,red,0.6,3.512878231045411,0.9999989453551074,True,True,0
2024-10-08,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,0.0012899284832587287,green,1.0,0.0,0.0,False,False,8
2024-10-09,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,-0.0069564498191844615,green,1.0,0.0,0.0,False,False,9
2024-10-10,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,0.005632046403988155,green,1.0,0.0,0.0,False,False,10
2024-10-11,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,0.0063721723595343335,green,1.0,0.0,0.0,False,False,11
2024-10-14,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,0.006304480146072455,green,1.0,0.7452486752722994,0.0006146341270257892,False,True,14
2024-10-15,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,0.0005562974611026839,green,1.0,0.0,0.0,False,False,15
2024-10-16,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,0.008785150588134404,green,1.0,0.0,0.0,False,False,16
2024-10-17,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,0.0027821630100763883,green,1.0,0.0,0.0,False,False,17
2024-10-18,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,0.0038784185969616743,green,1.0,0.0,0.0,False,False,18
2024-10-21,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,0.007604067755117505,green,1.0,0.7733674723245961,0.09837161140815104,False,True,21
2024-10-22,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,-0.00046100217543176836,green,1.0,0.0,0.0,False,False,22
2024-10-23,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,0.003012584380050187,green,1.0,0.0,0.0,False,False,23
2024-10-24,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,-0.006179507789017191,green,1.0,0.0,0.0,False,False,24
2024-10-25,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,5.046165925679522e-05,green,1.0,0.0,0.0,False,False,25
2024-10-28,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,0.0017266214585845761,green,1.0,0.39721915433292915,0.0004000702950660175,False,True,28
2024-10-29,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,0.005683819878084728,green,1.0,0.0,0.0,False,False,29
2024-10-30,"{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",0.0,0.0,0.0070908698795696164,green,1.0,0.0,0.0,False,False,30
2024-10-31,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 0.0, '518880': 0.6, '511260': 0.4}",2.0,0.002,-0.016846361185983816,green,1.0,0.24803565933174135,0.0006589735068252728,True,False,0
2024-11-01,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.011651816312542973,green,1.0,0.0,0.0,False,False,1
2024-11-04,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.0006934812760055475,green,1.0,-0.2345985261056274,0.0008254474068894338,False,True,4
2024-11-05,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,-0.0034650034650035577,green,1.0,0.0,0.0,False,False,5
2024-11-06,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.03546592489568856,green,1.0,0.0,0.0,False,False,6
2024-11-07,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.015446608462055034,green,1.0,0.0,0.0,False,False,7
2024-11-08,"{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}","{'510300': 0.0, '513100': 1.0, '518880': 0.0, '511260': 0.0}",0.0,0.0,0.008597883597883493,green,1.0,0.0,0.0,False,False,8
