date,width_z_today,stress_today,alert_level,applied_scale
2022-08-30,-1.107399942935505,0.08830574604293595,green,1.0
2022-08-31,0.6392183421425173,0.9127330426455402,red,0.6
2022-09-01,-0.739014712481408,0.31617430058254803,green,1.0
2022-09-02,-1.2588841705468625,0.027096268372466533,green,1.0
2022-09-05,0.26456776980445446,0.8001211644006073,yellow,0.85
2022-09-06,-0.696061935893521,0.34946136450079945,green,1.0
2022-09-07,-1.2049524046080295,0.03230259880499711,green,1.0
2022-09-08,-1.2559831076935117,0.03708719926178624,green,1.0
2022-09-09,0.7566414252138695,0.9916002742644631,red,0.6
2022-09-13,0.818550618287356,0.994260090601314,red,0.6
2022-09-14,0.6470218910303552,0.9134150155191735,red,0.6
2022-09-15,0.8963741877019297,0.9993040636800611,red,0.6
2022-09-16,1.08028818794842,0.9999887521672984,red,0.6
2022-09-19,-1.0346087098353671,0.05410133177506427,green,1.0
2022-09-20,-0.9665322592559398,0.08934027329202454,green,1.0
2022-09-21,-0.8848880369152275,0.13313719079789285,green,1.0
2022-09-22,-0.9764158735896923,0.082684729751555,green,1.0
2022-09-23,-0.9078171695952469,0.13785031178149626,green,1.0
2022-09-26,0.5325163160986806,0.8239583218190191,yellow,0.85
2022-09-27,1.1771919080544664,0.9984269685790097,red,0.6
2022-09-28,1.2132373164554544,0.99933527726509,red,0.6
2022-09-29,-0.10910607195232674,0.4886481045986611,green,1.0
2022-09-30,0.37877788535955087,0.6972221362998402,yellow,0.85
2022-10-10,1.402639440713653,0.9999999414902813,red,0.6
2022-10-11,-0.9289223668220163,0.02649274826682998,green,1.0
2022-10-12,1.4833140011020447,0.9954421502158584,red,0.6
2022-10-13,0.7474783008451941,0.7647179048036553,yellow,0.85
2022-10-14,1.7203262557017474,0.9999848878846586,red,0.6
2022-10-17,-0.62141553120023,0.11133043287135341,green,1.0
2022-10-18,0.16515597593570053,0.47766425481591335,green,1.0
2022-10-19,0.28805409073036825,0.5446017702723255,green,1.0
2022-10-20,1.1058278750782717,0.8359906785669571,yellow,0.85
2022-10-21,-0.9485407051380799,0.00697047052747262,green,1.0
2022-10-24,1.7141591814795292,0.9999999956455412,red,0.6
2022-10-25,-0.43809907937517883,0.22534224904666592,green,1.0
2022-10-26,1.5630518790958632,0.9690809723596112,red,0.6
2022-10-27,-0.561989400885283,0.1784235970516094,green,1.0
2022-10-28,1.7218186125431656,0.9999983504357851,red,0.6
2022-10-31,1.7048253584459294,0.9994925863691032,red,0.6
2022-11-01,1.898789210398489,0.9999999593652956,red,0.6
2022-11-02,-0.6020008391979589,0.05465914527852449,green,1.0
2022-11-03,-0.5736744920751584,0.06452469140804605,green,1.0
2022-11-04,1.980165739876528,0.9999999043174768,red,0.6
2022-11-07,-0.2750623937883842,0.20893467315078748,green,1.0
2022-11-08,-0.6617876798738846,0.01686147281358785,green,1.0
2022-11-09,0.13096559871505167,0.41850485804648485,green,1.0
2022-11-10,-0.5343621896413593,0.10901519379065887,green,1.0
2022-11-11,1.9087091607615327,0.999999689654725,red,0.6
2022-11-14,0.6100516514898292,0.5933271837918931,green,1.0
2022-11-15,1.9020460927308571,0.9992428283744049,red,0.6
2022-11-16,-0.6262689642105899,0.041573274170279194,green,1.0
2022-11-17,0.09197636772342369,0.40959454792290306,green,1.0
2022-11-18,-0.7451220880574533,0.01533450082552522,green,1.0
2022-11-21,-0.8314429707259566,0.0157818440402593,green,1.0
2022-11-22,-0.7576614622694912,0.06524846963211288,green,1.0
2022-11-23,-0.8732111566967962,0.02609021046521349,green,1.0
2022-11-24,-0.8486733385207658,0.0337433081143519,green,1.0
2022-11-25,-0.011896517614320205,0.4837210136585762,green,1.0
2022-11-28,-0.996217943121278,0.0077270597310276955,green,1.0
2022-11-29,1.3998189313292424,0.9999993203152157,red,0.6
2022-11-30,-0.9722207724030746,0.020608095739459733,green,1.0
2022-12-01,-0.07051028442896626,0.47761680046156385,green,1.0
2022-12-02,-1.0646664114308735,0.009617947140340338,green,1.0
2022-12-05,1.206365465234982,0.9977629254174152,red,0.6
2022-12-06,-0.7399425530303575,0.19748669513106526,green,1.0
2022-12-07,-1.0591296391961267,0.019966365919928668,green,1.0
2022-12-08,-1.0740944445584346,0.03368533982322953,green,1.0
2022-12-09,-0.9272496377157805,0.20034064296735266,green,1.0
2022-12-12,-0.8302160533947023,0.23563070024849275,green,1.0
2022-12-13,-1.1806134846846907,0.048194684507730526,green,1.0
2022-12-14,-0.7483887128974475,0.3085934570242389,green,1.0
2022-12-15,-0.8222497861058586,0.2517317592529313,green,1.0
2022-12-16,-0.23495537681612888,0.5517184154951493,green,1.0
2022-12-19,0.7644791668374973,0.958896179655114,red,0.6
2022-12-20,-0.600859331075657,0.363215045319735,green,1.0
2022-12-21,-0.9683852401472526,0.16481032495578787,green,1.0
2022-12-22,0.5366295601806419,0.8774879358289509,red,0.6
2022-12-23,-1.2472988084308392,0.01475520246838412,green,1.0
2022-12-26,0.714453914076984,0.954130244656118,red,0.6
2022-12-27,-1.2074943025704674,0.0777860097676112,green,1.0
2022-12-28,-1.266704613009331,0.009915934981245959,green,1.0
2022-12-29,-1.2155358392422089,0.05162022302624573,green,1.0
2022-12-30,-1.2471015620603219,0.00578276185931665,green,1.0
2023-01-03,0.15679752873203698,0.8252648823547248,yellow,0.85
2023-01-04,0.5064515317124132,0.9708875170461712,red,0.6
2023-01-05,0.6975623681702748,0.9999772920444626,red,0.6
2023-01-06,-1.1988239723518628,0.02439663882932995,green,1.0
2023-01-09,-0.7158968745281692,0.33101406428569086,green,1.0
2023-01-10,-1.2267443181735067,0.009750374705722367,green,1.0
2023-01-11,-1.1043113890263885,0.08049495564677893,green,1.0
2023-01-12,-1.17049531510818,0.015222781751050164,green,1.0
2023-01-13,0.6117709555583107,0.9812288695817187,red,0.6
2023-01-16,0.6740772067447856,0.9996582346262624,red,0.6
2023-01-17,-1.1660928120932688,0.033241675783729094,green,1.0
2023-01-18,-1.1641587869092638,0.05377238144107701,green,1.0
2023-01-19,0.29365491454419096,0.8832496541414712,red,0.6
2023-01-20,-0.3253849466914412,0.6054778999609787,yellow,0.85
2023-01-30,0.5600136229159032,0.9855944269623336,red,0.6
2023-01-31,0.503745698843015,0.9252170626789346,red,0.6
2023-02-01,-0.024272884726162285,0.6820279211530595,yellow,0.85
2023-02-02,-0.792588059683422,0.29640837256391217,green,1.0
2023-02-03,-1.0623597578895148,0.11477674524461588,green,1.0
2023-02-06,0.2719292351919457,0.7418287387691987,yellow,0.85
2023-02-07,-1.1373088824953457,0.03976248178919992,green,1.0
2023-02-08,-1.1681514380534297,0.02681843407600147,green,1.0
2023-02-09,0.8825680010669861,0.9974687674364351,red,0.6
2023-02-10,-1.1212609474381845,0.03192242621009293,green,1.0
2023-02-13,-1.0970085977329194,0.05847749654684198,green,1.0
2023-02-14,-1.1604847394464133,0.004357049841506074,green,1.0
2023-02-15,-1.1037684480863637,0.0584279966630196,green,1.0
2023-02-16,0.1251048400914843,0.6383370934822867,yellow,0.85
2023-02-17,1.2035117059221827,0.9946330015171247,red,0.6
2023-02-20,1.2445905532843802,0.99525556645451,red,0.6
2023-02-21,-0.8740983232429844,0.13659041625435375,green,1.0
2023-02-22,-1.0770911852375304,0.007420723029128464,green,1.0
2023-02-23,-1.0928742871287496,0.00608284140096881,green,1.0
2023-02-24,-0.9474681075074596,0.09466153475131443,green,1.0
2023-02-27,-1.0881427790983516,0.006541162075505979,green,1.0
2023-02-28,-1.105244017058489,0.004722314483647217,green,1.0
2023-03-01,0.3904317574733322,0.7461450911599332,yellow,0.85
2023-03-02,-1.128544651661346,0.007062876016621682,green,1.0
2023-03-03,-0.741217593597692,0.23031266615877025,green,1.0
2023-03-06,0.9425863164172144,0.9835340686212779,red,0.6
2023-03-07,1.1640925891093776,0.9997958625445426,red,0.6
2023-03-08,-0.7850220892924086,0.19826222234388696,green,1.0
2023-03-09,-1.1309180958874128,0.02541227462213521,green,1.0
2023-03-10,1.102729567478468,0.9987706479528151,red,0.6
2023-03-13,0.4844272573942821,0.7873942191152294,yellow,0.85
2023-03-14,1.1418852616828161,0.997425199446328,red,0.6
2023-03-15,-1.0046140217179713,0.0628172653395698,green,1.0
2023-03-16,1.0461747486339423,0.9806719711295752,red,0.6
2023-03-17,1.066620467098658,0.9916383973778381,red,0.6
2023-03-20,0.9299162939692193,0.9679479756777906,red,0.6
2023-03-21,1.15262631996791,0.9931471062943196,red,0.6
2023-03-22,0.605273388424689,0.8003749469101743,yellow,0.85
2023-03-23,0.907002196280191,0.8960563072560713,red,0.6
2023-03-24,-0.9758867466400992,0.045670713431957166,green,1.0
2023-03-27,-1.0286044874562272,0.014254938069323219,green,1.0
2023-03-28,-0.4080065800719445,0.336131835584371,green,1.0
2023-03-29,-0.516675515676338,0.29991607174699053,green,1.0
2023-03-30,-0.9213943407078302,0.07341789021537107,green,1.0
2023-03-31,-0.9052985693673691,0.08602126399401375,green,1.0
2023-04-03,1.369391963273115,0.9998645390502872,red,0.6
2023-04-04,-0.9692553376713253,0.02875687935788083,green,1.0
2023-04-06,1.3741227128403402,0.9990488681498289,red,0.6
2023-04-07,0.5713411680506035,0.7040253234870107,yellow,0.85
2023-04-10,1.2184461445818207,0.9485297629886009,red,0.6
2023-04-11,-0.6357479889242277,0.21204129015196718,green,1.0
2023-04-12,0.9528982743148406,0.8996525283540275,red,0.6
2023-04-13,1.0194218928272234,0.9125963526954639,red,0.6
2023-04-14,1.0656374017111654,0.9510953540899174,red,0.6
2023-04-17,1.2539937261690985,0.9956112755491298,red,0.6
2023-04-18,-0.971727178263286,0.08399122333269657,green,1.0
2023-04-19,-1.0222947991243274,0.06797532300215206,green,1.0
2023-04-20,1.139605340997728,0.98813399933317,red,0.6
2023-04-21,1.3485285036205776,0.9999973095426057,red,0.6
