date,realized_ret_v10,realized_ret_v10_2,width_z_today,stress_today,alert_level,applied_scale
2022-08-22,0.01154757747022539,0.01154757747022539,0.0,0.21100322440262909,green,1.0
2022-08-23,-0.0028828559716336023,-0.0028828559716336023,0.0,0.10411481100443647,green,1.0
2022-08-24,-0.03609757000122393,-0.026352385401211563,0.0,0.9993523490621982,red,0.4
2022-08-25,0.005010550024741112,0.00768693508487666,0.0,0.9597322967440111,red,0.4
2022-08-26,-0.010580792144890005,-0.010580792144890005,0.0,0.023367141739962592,green,1.0
2022-08-29,-0.009335672562107745,-0.007649695806362291,0.0,0.9631306137444923,red,0.4
2022-08-30,-0.009630535424097177,-0.009630535424097177,0.0,0.08216156816069514,green,1.0
2022-08-31,-0.020412642787628003,-0.014288849951339598,0.0,0.7371324186742906,yellow,0.7
2022-09-01,-0.0014755477933889871,-0.0014755477933889871,0.0,0.0781620102857168,green,1.0
2022-09-02,0.005013553296385753,0.005013553296385753,0.0,0.02834111873182278,green,1.0
2022-09-05,-0.0028521899741939414,-0.0021569607894224106,0.0,0.7188962768358222,yellow,0.7
2022-09-06,0.009364663723200507,0.009364663723200507,0.0,0.40131723422113214,green,1.0
2022-09-07,-0.001523747531057773,-0.001523747531057773,0.0,0.03186244370936539,green,1.0
2022-09-08,0.005525803209826631,0.005525803209826631,0.0,0.03493996536462015,green,1.0
2022-09-09,0.0037939929924864168,0.010780306805724933,0.0,0.983682070066232,red,0.4
2022-09-13,0.009357672419253804,0.00594490383008691,0.0,0.9901694992161707,red,0.4
2022-09-14,-0.03182372292051108,-0.019937637509808023,0.0,0.8971418709119103,red,0.4
2022-09-15,-0.005780337509372769,-0.00818049344942712,0.0,0.9989868523809375,red,0.4
2022-09-16,-0.01908578596049755,-0.022049690785693903,0.0,0.9999848325882091,red,0.4
2022-09-19,0.0005944876455258763,0.0005944876455258763,0.0,0.0592719187435087,green,1.0
2022-09-20,0.01424413193494196,0.01424413193494196,0.0,0.10770689674933778,green,1.0
2022-09-21,-0.0005520560055531695,-0.0005520560055531695,0.0,0.13996626637608278,green,1.0
2022-09-22,-0.004052040624602205,-0.004052040624602205,0.0,0.07861769554514388,green,1.0
2022-09-23,-0.00996838333140231,-0.00996838333140231,0.0,0.27885336527078436,green,1.0
2022-09-26,-0.017926624962518248,-0.01464360954080186,0.0,0.7914447201755093,yellow,0.7
2022-09-27,0.009636373008884758,0.012293367768954686,0.0,0.9976687007199142,red,0.4
2022-09-28,-0.008138294709285444,-0.012575706233228762,0.0,0.9992648668821504,red,0.4
2022-09-29,0.013473999831252616,0.009516330735638462,0.0,0.6299893870969089,yellow,0.7
2022-09-30,-0.011124131689286566,-0.00998407528109212,0.0,0.7028262835290886,yellow,0.7
2022-10-10,0.01217307167498989,-0.00858139562058299,0.0,0.9999998898726009,red,0.4
2022-10-11,-0.006054651770937048,-0.006054651770937048,0.0,0.0279192852594262,green,1.0
2022-10-12,0.0015586508439008994,0.011431130296886296,0.0,0.9936777489912901,red,0.4
2022-10-13,-0.011176790847184304,-0.010649096058782424,0.0,0.837357111969519,yellow,0.7
2022-10-14,0.007744048887518496,0.018309374092604597,0.0,0.9999409896649748,red,0.4
2022-10-17,-0.013381483027914,-0.013381483027914,0.0,0.09605774721689016,green,1.0
2022-10-18,0.0021989098283555332,0.0021989098283555332,0.0,0.41684454093773426,green,1.0
2022-10-19,-0.006593718906361401,-0.00960011463969095,0.0,0.6044347952898559,yellow,0.7
2022-10-20,9.495805190964381e-05,-0.0009644571987147922,0.0,0.7502766480317274,yellow,0.7
2022-10-21,-0.0014286914756912906,-0.0014286914756912906,0.0,0.011504072064396385,green,1.0
2022-10-24,0.00726267264183278,-0.01409897952626286,0.0,0.9999999416794251,red,0.4
2022-10-25,-0.00040848071099950376,-0.00040848071099950376,0.0,0.1994444129841165,green,1.0
2022-10-26,0.002477077780978321,0.006014754557367413,0.0,0.9309499585810547,red,0.4
2022-10-27,-0.0015748371351763215,-0.0015748371351763215,0.0,0.17014319859069194,green,1.0
2022-10-28,-0.004868841706886462,-0.01736893536775164,0.0,0.9999982351122694,red,0.4
2022-10-31,0.0004162417381305294,-0.007011417415177193,0.0,0.9985337277270782,red,0.4
2022-11-01,0.003920563389843302,0.027274527746499244,0.0,0.999999888244212,red,0.4
2022-11-02,-0.0006129699805460522,-0.0006129699805460522,0.0,0.059676439978425935,green,1.0
2022-11-03,-0.003242980903624337,-0.003242980903624337,0.0,0.050685374999395495,green,1.0
2022-11-04,0.001153496673290233,0.023119739436488325,0.0,0.9999997355402717,red,0.4
2022-11-07,0.012194443502368158,0.012194443502368158,0.0,0.23799355626292848,green,1.0
2022-11-08,0.0037472425673382498,0.0037472425673382498,0.0,0.0206755565771718,green,1.0
2022-11-09,0.012322066205110472,0.012322066205110472,0.0,0.37861879221418643,green,1.0
2022-11-10,0.0002103439540403595,0.0002103439540403595,0.0,0.09469927887480947,green,1.0
2022-11-11,0.0018172688542053236,0.01799055991983827,0.0,0.9999992252404061,red,0.4
2022-11-14,-0.01740591769224862,-0.01740591769224862,0.0,0.49392176896490275,green,1.0
2022-11-15,0.006794730291604556,0.01555303187705255,0.0,0.9980858310556441,red,0.4
2022-11-16,-0.0006682453490078676,-0.0006682453490078676,0.0,0.04978894656864015,green,1.0
2022-11-17,-0.0012646086782009515,-0.0012646086782009515,0.0,0.3728756255696034,green,1.0
2022-11-18,-0.0014130962093222175,-0.0014130962093222175,0.0,0.01941259874906755,green,1.0
2022-11-21,-0.0037538764298000516,-0.0037538764298000516,0.0,0.019786769640497484,green,1.0
2022-11-22,-0.0030482764290556083,-0.0030482764290556083,0.0,0.06712469763506378,green,1.0
2022-11-23,-0.0013021907168989434,-0.0013021907168989434,0.0,0.02763618619914758,green,1.0
2022-11-24,0.009925962663444476,0.009925962663444476,0.0,0.04337897959133561,green,1.0
2022-11-25,0.002648532003153026,0.002648532003153026,0.0,0.4207818179021007,green,1.0
2022-11-28,-0.004537543017701772,-0.004537543017701772,0.0,0.012318255146137602,green,1.0
2022-11-29,-0.0006919461045040262,0.01990883640738629,0.0,0.9999976643570256,red,0.4
2022-11-30,-0.007038794179236142,-0.007038794179236142,0.0,0.023623715942119084,green,1.0
2022-12-01,0.005671987064359719,0.005671987064359719,0.0,0.4886428798840001,green,1.0
2022-12-02,0.0010967257433775125,0.0010967257433775125,0.0,0.014244020515959818,green,1.0
2022-12-05,-0.005198130901123067,0.00979034919987401,0.0,0.99606281661497,red,0.4
