date,turnover,cost,port_ret,alert_level,applied_scale,is_month_end,is_monday,days_since_month_end
2025-12-17,0.0,0.0,0.007575757575757569,green,1.0,False,False,19
2025-12-18,0.0,0.0,0.0008592910848548296,green,1.0,False,False,20
2025-12-19,0.0,0.0,-0.0005365958360161738,green,1.0,False,False,21
2025-12-22,0.0,0.0,0.021260603457532223,green,1.0,False,True,24
2025-12-23,0.0,0.0,0.013458101146041512,green,1.0,False,False,25
2025-12-24,0.0,0.0,0.0003112356053531773,green,1.0,False,False,26
2025-12-25,0.0,0.0,-0.007882182119892,green,1.0,False,False,27
2025-12-26,0.0,0.0,0.008781099728204067,green,1.0,False,False,28
2025-12-29,0.0,0.0,-0.009015544041450774,green,1.0,False,True,31
2025-12-30,0.0,0.0,-0.020913939140437265,green,1.0,False,False,32
2025-12-31,0.0,0.0,-0.006621809249172217,green,1.0,True,False,0
2026-01-05,0.0,0.0,0.02085797226104713,green,1.0,False,True,5
2026-01-06,0.0,0.0,0.008636124275934742,green,1.0,False,False,6
2026-01-07,0.0,0.0,-0.006160593087605637,green,1.0,False,False,7
2026-01-08,0.0,0.0,-0.000735448623660595,green,1.0,False,False,8
2026-01-09,0.0,0.0,0.008516454631479542,green,1.0,False,False,9
2026-01-12,0.0,0.0,0.019286905754795525,green,1.0,False,True,12
2026-01-13,0.0,0.0,0.0016364938120077,green,1.0,False,False,13
2026-01-14,0.0,0.0,0.013172674359236414,green,1.0,False,False,14
2026-01-15,0.0,0.0,-0.005543237250554278,green,1.0,False,False,15
2026-01-16,0.0,0.0,-0.0010134792743490273,green,1.0,False,False,16
2026-01-19,0.0,0.0,0.01511616110378422,green,1.0,False,True,19
2026-01-20,0.0,0.0,0.007595442734359414,green,1.0,False,False,20
2026-01-21,0.0,0.0,0.029260067446935212,green,1.0,False,False,21
2026-01-22,0.0,0.0,-0.00346921075455342,green,1.0,False,False,22
2026-01-23,0.0,0.0,0.02668987525384403,green,1.0,False,False,23
2026-01-26,0.0,0.0,0.02891588961100111,green,1.0,False,True,26
2026-01-27,0.0,0.0,0.0009154155986816903,green,1.0,False,False,27
2026-01-28,0.0,0.0,0.03164441192610212,green,1.0,False,False,28
2026-01-29,0.0,0.0,0.05531914893617018,green,1.0,False,False,29
2026-01-30,0.0,0.0,-0.075184811827957,green,1.0,True,False,0
2026-02-02,0.0,0.0,-0.10000908347715509,green,1.0,False,True,3
2026-02-03,0.0,0.0,0.051877270892208394,green,1.0,False,False,4
2026-02-04,0.0,0.0,0.04269813855306093,green,1.0,False,False,5
