,50,100,200,500,1000
2017-06-26,1.1359753781733726,1.1550896797760761,1.1889001849345728,1.186420037221338,1.145464288441126
2017-06-27,1.1378241575643144,1.1569695673464757,1.1908350984907552,1.188350914381539,1.1473285108529652
2017-06-28,1.1360541196485259,1.1551697461827315,1.1889825949563595,1.1865022753286796,1.1455436876520642
2017-06-29,1.139457155528125,1.1586300426716258,1.1925441774095846,1.1900564280149049,1.1489751493882785
2017-06-30,1.1381376136027024,1.1572882976925463,1.1911631583666795,1.188678289814825,1.1482880511460216
2017-07-03,1.1412323126483315,1.160435069179212,1.1944020386614067,1.191910413527357,1.1515376341912924
2017-07-04,1.135429460155452,1.1545345759497618,1.1883288327324029,1.1858498768270107,1.1467648895126363
2017-07-05,1.1392720868924755,1.1584418600092714,1.1923504864812924,1.1898631410611165,1.1504027728506205
2017-07-06,1.14040331813024,1.159592125722136,1.1935344214975097,1.1910446062873066,1.1518272714732052
2017-07-07,1.1407516042419659,1.1599462722124478,1.1938989341714608,1.1914083585565443,1.1526628218244979
2017-07-10,1.1403423247368736,1.1595301060335361,1.1934705864373083,1.190980904392518,1.1516322877709877
2017-07-11,1.1420489699478558,1.1612654678275558,1.1952567438188306,1.1927633356964877,1.1520805542655472
2017-07-12,1.1430227391239274,1.162255621969421,1.19627588065556,1.1937803465263321,1.152522652759964
2017-07-13,1.1454214653299037,1.1646947099446943,1.1987863629113242,1.1962855917007078,1.1540061604498126
2017-07-14,1.143755628986196,1.163000843681597,1.1970429156719247,1.1945457814418396,1.1520668455643006
2017-07-17,1.1373606265542056,1.1564982368001402,1.1903499716872865,1.1878667995126178,1.144925333184551
2017-07-18,1.1396653831459207,1.1588417739969983,1.1927621063081286,1.1902739022136761,1.1472008856014875
2017-07-19,1.146253680018038,1.1655409277554714,1.1996573502721752,1.197154762107192,1.1537352555867861
2017-07-20,1.1477204704920876,1.167032398936545,1.2011924781449819,1.1986866875715398,1.1550650383354926
2017-07-21,1.1485290471538532,1.1678545809796166,1.2020387261897694,1.1995311702702967,1.1560512371919274
2017-07-24,1.1487594647672215,1.1680888756768013,1.2022798789017108,1.1997718199169898,1.1558007674333335
2017-07-25,1.1500471625787645,1.1693982407223389,1.2036275702299715,1.2011166998455058,1.1571604199543437
2017-07-26,1.1478046658242524,1.1671180109675245,1.2012805961164665,1.1987746217213755,1.1544472882561851
2017-07-27,1.1522252485300948,1.171612975876258,1.2059071326571968,1.2033915069099184,1.1585120706510597
2017-07-28,1.1509842073178143,1.1703510524895242,1.2046082716474074,1.2020953554356395,1.1577166099615044
2017-07-31,1.1573157665002738,1.1767891486041175,1.2112348165774978,1.2087080768244385,1.1632882793089956
2017-08-01,1.1581053445392304,1.1775920123471995,1.2120611808584243,1.209532717238572,1.1633821694196904
2017-08-02,1.1569882012236896,1.1764560716046488,1.2108919901171786,1.2083659655295307,1.1619567167338691
2017-08-03,1.1552604639288633,1.1746992628243287,1.2090837579769378,1.2065615055166834,1.1603744941030047
2017-08-04,1.1561138499137864,1.175567008167214,1.2099769029999627,1.2074527873625571,1.1611770545209008
2017-08-07,1.1589882537313205,1.1784897776646084,1.2129852245674024,1.2104548333130887,1.1638086823556932
2017-08-08,1.1610749382619454,1.1806115734469513,1.215169127204752,1.2126341801421552,1.1654732124665952
2017-08-09,1.1640858009475945,1.1836730979150083,1.218320265224603,1.2157787446177246,1.1690232675872465
2017-08-10,1.1620697539034268,1.1816231281890912,1.2162102910564134,1.2136731720366885,1.1679548298828824
2017-08-11,1.1533057798671567,1.1727116885949358,1.2070380056771066,1.2045200208316782,1.1605577700999992
2017-08-14,1.15907680791103,1.1785798218865586,1.2130779044640407,1.2105473198715109,1.1654481129591592
2017-08-15,1.159057825596502,1.1785605201692586,1.2130580377682598,1.2105274946193618,1.1656915632452263
2017-08-16,1.159190566112946,1.1786954942220218,1.2131969626319328,1.210666129673849,1.1650154322810318
2017-08-17,1.165043209735573,1.1846466163834195,1.2193222794468788,1.216778668552358,1.171497591151651
2017-08-18,1.1645763496017265,1.1841719007048388,1.2188336684169807,1.2162910768069919,1.1720438010972947
2017-08-21,1.1678209691815598,1.1874711153387518,1.2222294540058414,1.219679778495751,1.1751380272162144
2017-08-22,1.1691710582928883,1.1888439215009494,1.2236424434288302,1.2210898203015672,1.1757124544222448
2017-08-23,1.1666486553253503,1.1862790757375659,1.2210025223423329,1.218455406316965,1.172604910305262
2017-08-24,1.1654576268086139,1.185068006576716,1.2197560041069764,1.2172114884256005,1.1713316212997302
2017-08-25,1.170794656334652,1.1904948387463097,1.2253416844944371,1.2227855166045136,1.1758959839069643
2017-08-28,1.1742289686620704,1.1939869379614139,1.2289360005682164,1.2263723346265656,1.1795125024631827
2017-08-29,1.172955465517449,1.19269200642701,1.227603165232834,1.2250422797000522,1.1784928616359658
2017-08-30,1.1732523268629005,1.192993862860733,1.2279138572736021,1.2253523236105655,1.1776722125913808
2017-08-31,1.1734849854423048,1.1932304362311976,1.228157355357623,1.2255953137366906,1.1783478964541074
2017-09-01,1.1770831364233014,1.1968891309038543,1.2319231432865863,1.2293532459089243,1.1822499779205304
2017-09-04,1.1791288370560324,1.1989692531795322,1.2340641525965617,1.2314897888897776,1.1851749528055204
2017-09-05,1.1799783540054918,1.1998330643852693,1.2349532483267351,1.232377029889972,1.1860793531693306
2017-09-06,1.180019463234889,1.1998748653323075,1.2349962728247763,1.2324199646352185,1.1865706606487687
2017-09-07,1.177342244633626,1.1971525989555738,1.2321943232831705,1.2296238602007676,1.1840271616365596
2017-09-08,1.1766478292222973,1.1964464990783155,1.231467555232725,1.2288986082508335,1.1827734064143351
2017-09-11,1.179672319733429,1.199521880678204,1.2346329559950155,1.2320574057155378,1.1850096570493849
