date,regime,vol_target,PMI,CPI,M2,CN10Y,US10Y,PMI_zscore,CPI_zscore,M2_zscore,CN10Y_zscore,US10Y_zscore
2022-11-18,stagflation,0.06,49.2,2.1,11.8,2.825,3.82,-0.49261345513845645,0.18351331492724723,1.0114976997655654,0.9818925998938618,1.373390583796501
2022-11-21,neutral,0.14,49.2,2.1,11.8,2.818,3.83,-0.4883005067242742,0.17997561693850847,1.0037977103121543,0.8812210814210352,1.3764559077922387
2022-11-22,stagflation,0.06,49.2,2.1,11.8,2.8276,3.76,-0.4839945063621171,0.1764329311109137,0.9961637120765529,1.0330127891788745,1.2788717935232106
2022-11-23,neutral,0.14,49.2,2.1,11.8,2.7975,3.71,-0.4796952101079391,0.1728850876874498,0.9885944399284421,0.5764950759769475,1.2067414850435552
2022-11-24,stagflation,0.06,49.2,2.1,11.8,2.795,3.71,-0.4754023747159426,0.16933191512585696,0.9810886698838301,0.5429545352613178,1.1985486898477062
2022-11-25,neutral,0.14,49.2,2.1,11.8,2.83,3.68,-0.47111575756813195,0.1657732400453143,0.973645218335689,1.0813947092632539,1.1518761486972877
2022-11-28,stagflation,0.06,49.2,2.1,11.8,2.86,3.69,-0.4668351166038744,0.16220888717186543,0.9662629413680699,1.5392215996984466,1.156959268616383
2022-11-29,neutral,0.14,49.2,2.1,11.8,2.88,3.75,-0.4625602102494665,0.16352742151323438,0.9589407341543006,1.8364395636696087,1.226535745935226
2022-11-30,stagflation,0.06,49.2,2.1,11.8,2.885,3.68,-0.45829079734769884,0.1648473072790139,0.9519737798776334,1.905066142000727,1.1283805728423073
2022-12-01,neutral,0.14,48.0,2.1,11.8,2.86,3.53,-1.942778608028458,0.1661685533609026,0.9450702470820731,1.522710374872917,0.9262160516957757
2022-12-02,stagflation,0.06,48.0,2.1,11.8,2.8676,3.51,-1.919847882624836,0.16749116869259945,0.9382295449120636,1.6344684992918672,0.8936037635046913
2022-12-05,neutral,0.14,48.0,2.1,11.8,2.8902,3.6,-1.897492203133952,0.16881516225016654,0.9314511413835698,1.9684454660852553,1.005637650404811
2022-12-06,stagflation,0.06,48.0,2.1,11.8,2.9152,3.51,-1.875685794151827,0.17014054305240012,0.924734565085803,2.3257032439389205,0.880450750005885
2022-12-07,neutral,0.14,48.0,2.1,11.8,2.8702,3.42,-1.8544044648316635,0.17146732016119848,0.9180794071486674,1.6471144296327855,0.7546762287203285
2022-12-08,stagflation,0.06,48.0,2.1,11.8,2.8853,3.48,-1.8336254853285612,0.17279550268193802,0.9114853234993003,1.8650465244956385,0.828923971283291
2022-12-09,neutral,0.14,48.0,2.1,11.8,2.8903,3.57,-1.813327474827594,0.17412509976385235,0.904952037434269,1.9259211778733791,0.9439475345148206
2022-12-12,stagflation,0.06,48.0,1.6,12.4,2.8902,3.61,-1.7934902998924562,-0.6133577638169587,1.3775044891508377,1.9083561126864683,0.991702040423303
2022-12-13,neutral,0.14,48.0,1.6,12.4,2.8952,3.51,-1.7740949820283802,-0.60880577505855,1.3684441801614882,1.9654528894349101,0.8495798348214882
2022-12-14,stagflation,0.06,48.0,1.6,12.4,2.8655,3.49,-1.7551236134875952,-0.6042678384314389,1.3595610517138454,1.5214017318481992,0.8163076066667525
2022-12-15,neutral,0.14,48.0,1.6,12.4,2.8829,3.44,-1.7365592804619143,-0.5997436710190885,1.3508539206636854,1.7610742615041435,0.7415855848416066
2022-12-16,stagflation,0.06,48.0,1.6,12.4,2.8856,3.48,-1.7183859929079714,-0.5952329926907381,1.342321849928577,1.7835090602389252,0.7910176806996384
2022-12-19,neutral,0.14,48.0,1.6,12.4,2.8632,3.57,-1.7005886203382958,-0.5907355260142182,1.3339641536863525,1.4482064604142393,0.9105201184151561
2022-12-20,stagflation,0.06,48.0,1.6,12.4,2.8732,3.69,-1.6831528329873762,-0.5862509961702481,1.3257804038046896,1.578657734403015,1.0725660389675662
2022-12-21,neutral,0.14,48.0,1.6,12.4,2.8606,3.68,-1.6664999491060535,-0.581779130868163,1.3177704375929724,1.3881645342693025,1.0517609041418983
2022-12-22,stagflation,0.06,48.0,1.6,12.4,2.8503,3.67,-1.6501721840509227,-0.5773196602629979,1.3099343669829504,1.2340921616547478,1.0308878841849725
2022-12-23,neutral,0.14,48.0,1.6,12.4,2.8251,3.75,-1.6341579811352436,-0.5728723168738841,1.3022725892619993,0.8738578932355169,1.1372993401114377
2022-12-26,stagflation,0.06,48.0,1.6,12.4,2.8378,3.75,-1.6184463544415169,-0.568436835503689,1.2947857995024998,1.0523567700697438,1.1298932562970878
2022-12-27,neutral,0.14,48.0,1.6,12.4,2.8657,3.84,-1.6030268532653678,-0.5640129531598435,1.287475004853413,1.4414018870093908,1.2505633983818438
2022-12-28,stagflation,0.06,48.0,1.6,12.4,2.8503,3.88,-1.5878895292518505,-0.5648692900562972,1.28034154088595,1.2181695052241026,1.2993045767826648
2022-12-29,neutral,0.14,48.0,1.6,12.4,2.8376,3.83,-1.5730249059875758,-0.5657266387326101,1.2733870902151394,1.0346900553100593,1.219420587127987
2022-12-30,stagflation,0.06,48.0,1.6,12.4,2.8353,3.88,-1.5584239508356135,-0.5665850022514279,1.2644054103742939,0.9984537135581856,1.2835521690475458
2023-01-02,neutral,0.14,47.0,1.6,12.4,2.8353,3.88,-2.645078069271577,-0.5674443836873163,1.255558499819195,0.9939014641452322,1.2758910250156235
2023-01-03,stagflation,0.06,47.0,1.6,12.4,2.8228,3.79,-2.6003431674567907,-0.5683047861268181,1.2468446332310292,0.815856144054025,1.1375743319212919
2023-01-04,neutral,0.14,47.0,1.6,12.4,2.8103,3.69,-2.5574738667525763,-0.5691662126685185,1.2382622275510777,0.6386776626033054,0.9848762848031168
2023-01-05,stagflation,0.06,47.0,1.6,12.4,2.8304,3.71,-2.516339779539443,-0.5700286664231075,1.2298098421633157,0.914285507560815,1.007224899051192
2023-01-06,neutral,0.14,47.0,1.6,12.4,2.8328,3.55,-2.4768229946225104,-0.5708921505134408,1.2214861795792158,0.9410096079009792,0.7653180571205291
2023-01-09,stagflation,0.06,47.0,1.6,12.4,2.8428,3.53,-2.4388165824212966,-0.571756668074607,1.21329008664541,1.0725873381637974,0.7295860235065111
2023-01-10,neutral,0.14,47.0,1.8,12.4,2.8602,3.61,-2.4022233135785096,-0.2565231416807345,1.2052205562992753,1.30433117935845,0.8427424269547643
2023-01-11,stagflation,0.06,47.0,1.8,12.4,2.8603,3.54,-2.3669545558789955,-0.2586574990198899,1.1972767299021634,1.2953448846291853,0.7320344917633096
2023-01-12,neutral,0.14,47.0,1.8,11.8,2.8778,3.43,-2.3329293208719535,-0.26079705460444524,0.673928928641573,1.5248872397132578,0.5601399394885448
2023-01-13,stagflation,0.06,47.0,1.8,11.8,2.901,3.49,-2.3000734367583653,-0.26294185545942983,0.6678219534382014,1.8265815314276248,0.645169753415577
2023-01-16,neutral,0.14,47.0,1.8,11.8,2.9167,3.49,-2.2683188282415716,-0.26509194906989575,0.6617315922979868,2.0177303368262827,0.6392015474198732
2023-01-17,stagflation,0.06,47.0,1.8,11.8,2.9017,3.53,-2.237602887366387,-0.2672473833874211,0.6556571889452909,1.7927354566299607,0.6948619241267436
2023-01-18,neutral,0.14,47.0,1.8,11.8,2.9222,3.37,-2.207867922063615,-0.26940820683672084,0.6495980958074891,2.046783604314108,0.4408708198321553
2023-01-19,stagflation,0.06,47.0,1.8,11.8,2.9145,3.39,-2.178121179785293,-0.27157446832237386,0.6435536744096327,1.9202036395710607,0.46579799597984056
2023-01-20,neutral,0.14,47.0,1.8,11.8,2.9331,3.48,-2.1492935451098707,-0.2737462172356563,0.6375232958739028,2.1425384895521753,0.6013541530294986
2023-01-23,stagflation,0.06,47.0,1.8,11.8,2.9331,3.52,-2.121335953026804,-0.2759235034614962,0.6315063415385196,2.115068201469074,0.6589029924819774
2023-01-24,neutral,0.14,47.0,1.8,11.8,2.9331,3.46,-2.094202942867383,-0.27810637738554234,0.6255022037130282,2.0884002519887037,0.5570673606138845
2023-01-25,stagflation,0.06,47.0,1.8,11.8,2.9331,3.46,-2.06785232451447,-0.28029488990135715,0.6195102865897508,2.061540416222399,0.5509816334087128
2023-01-26,neutral,0.14,47.0,1.8,11.8,2.9331,3.49,-2.042244881679993,-0.28248909241773046,0.6135300073345777,2.0355018301253747,0.5934480729896854
2023-01-27,stagflation,0.06,47.0,1.8,11.8,2.9331,3.52,-2.017344107480201,-0.2846890368661173,0.6075607973840568,2.0100365060266907,0.6363101911743613
2023-01-30,neutral,0.14,47.0,1.8,11.8,2.9133,3.55,-1.9931159682335768,-0.2921431160913342,0.6016021039805727,1.7360386178388674,0.6793967849074459
2023-01-31,stagflation,0.06,47.0,1.8,11.8,2.8977,3.52,-1.9695286919884722,-0.2997061221119964,0.5956533919828129,1.5233547278728767,0.6240673159721375
2023-02-01,neutral,0.14,50.1,1.8,11.8,2.9101,3.39,0.9461351590280082,-0.3073819842287336,0.5897316446961862,1.667141848203558,0.4018904523860056
2023-02-02,stagflation,0.06,50.1,1.8,11.8,2.897,3.4,0.9461351590280015,-0.3151748287031742,0.5838157948484878,1.489244197921738,0.41230907183085785
2023-02-03,neutral,0.14,50.1,1.8,11.8,2.8943,3.53,0.9461351590280015,-0.3230889918749003,0.5779050589389285,1.4438218297699266,0.6250440101892949
2023-02-06,stagflation,0.06,50.1,1.8,11.8,2.9017,3.63,0.9461351590280015,-0.3311290343664435,0.5719986449650484,1.5237855689264113,0.7887042894691482
2023-02-07,neutral,0.14,50.1,1.8,11.8,2.8964,3.67,0.9461351590280015,-0.33929975648493327,0.5660957516203516,1.446490657883374,0.8515907416905651
2023-02-08,stagflation,0.06,50.1,1.8,11.8,2.8973,3.63,0.9461351590280082,-0.3476062149417676,0.5601955674581002,1.4493738417320134,0.7775187079173872
2023-02-09,neutral,0.14,50.1,1.8,11.8,2.8912,3.67,0.9461351590280015,-0.3560537410261387,0.5542972700184924,1.3655181007956707,0.8415634268705913
2023-02-10,stagflation,0.06,50.1,2.1,11.8,2.9003,3.74,0.9461351590280015,0.14766083414003442,0.548400024916243,1.4665966202147054,0.958356833079972
2023-02-13,neutral,0.14,50.1,2.1,12.6,2.8943,3.72,0.9461351590280015,0.14051882361505735,1.3080883897422797,1.3820036462929723,0.9180688627464164
2023-02-14,stagflation,0.06,50.1,2.1,12.6,2.8914,3.77,0.9461351590280015,0.13328769956568198,1.2980199845473077,1.3358867230285054,1.001631102712004
2023-02-15,neutral,0.14,50.1,2.1,12.6,2.8918,3.81,0.9461351590280082,0.1259630916578777,1.2880903942930182,1.3303959961464753,1.0696701399372242
2023-02-16,stagflation,0.06,50.1,2.1,12.6,2.8907,3.86,0.9468608973319762,0.11854035617929436,1.278296696096374,1.3083400636127258,1.1584916736186541
2023-02-17,neutral,0.14,50.1,2.1,12.6,2.892,3.82,0.9475874406682552,0.11101455233861106,1.2686360972157946,1.3164371053655353,1.0822829517894816
2023-02-20,stagflation,0.06,50.1,2.1,12.6,2.917,3.82,0.9483147908417291,0.10338041598875297,1.2591059311649246,1.6081915768860162,1.0793879723231616
2023-02-21,neutral,0.14,50.1,2.1,12.6,2.919,3.95,0.9490429496629293,0.09563233043357755,1.249703654163973,1.6190754848215652,1.3217171114707855
2023-02-22,stagflation,0.06,50.1,2.1,12.6,2.9175,3.93,0.949771918948016,0.08776429392434307,1.2404268419183853,1.5883445612976232,1.2835904514175391
2023-02-23,neutral,0.14,50.1,2.1,12.6,2.922,3.88,0.9505017005187955,0.07976988338946774,1.2312731867161826,1.6298119240043447,1.186477251144975
2023-02-24,stagflation,0.06,50.1,2.1,12.6,2.9126,3.95,0.9512322962028026,0.07164221386649076,1.2222404948371037,1.5091420870895391,1.3193222334093215
2023-02-27,neutral,0.14,50.1,2.1,12.6,2.9117,3.92,0.9519637078332502,0.06337389301649828,1.2133266842684378,1.4906803710162873,1.2579354793023032
2023-02-28,stagflation,0.06,50.1,2.1,12.6,2.9017,3.92,0.9526959372491138,0.05495696999534374,1.2045297827239894,1.3621899348316124,1.2551366178634795
2023-03-01,neutral,0.14,52.6,2.1,12.6,2.8977,4.01,3.2400015595426477,0.046382877829047764,1.1986540062885087,1.3046742355602943,1.4288231747130196
2023-03-02,stagflation,0.06,52.6,2.1,12.6,2.9111,4.08,3.1720786127452834,0.03764236828796967,1.1929630757930423,1.451813616199703,1.5627716365544013
2023-03-03,neutral,0.14,52.6,2.1,12.6,2.9026,3.97,3.1078245543706124,0.028725438069620208,1.1874617771091942,1.3426320107235201,1.3356040567828766
2023-03-06,stagflation,0.06,52.6,2.1,12.6,2.8826,3.98,3.0469128545938102,0.019621244875803318,1.1821554864998864,1.1026063000639503,1.3504799047274494
2023-03-07,neutral,0.14,52.6,2.1,12.6,2.8726,3.97,2.989056360491953,0.010318011696251739,1.1770502263042868,0.9808477541157344,1.326055059859407
