权重,top_k,corr_name,corr_thr,Sharpe,Calmar,MaxDD,AnnRet,Vol,WinRate,TotalReturn,N_Weeks,N_Years
偏动量,4,corr=0.8,0.8,0.5715391124501001,0.5117754037802558,-0.24336864721782214,0.12455008769735554,0.20866817899625092,0.3744186046511628,1.6397055936728506,430,8.26923076923077
Stage28 (加动量),6,无约束,0.0,0.5630015817175972,0.5757321532836204,-0.1880468881951336,0.10826463985886847,0.1739943465777343,0.37209302325581395,1.339737915948807,430,8.26923076923077
偏动量,6,corr=0.8,0.8,0.5613045661237225,0.4698993475055994,-0.23454924365016094,0.11021453654914248,0.17951979689734457,0.39069767441860465,1.3739972566852994,430,8.26923076923077
偏质量,6,无约束,0.0,0.5531029614470053,0.5265025883108192,-0.17023497697383383,0.08962915599775623,0.13571332668643565,0.3627906976744186,1.0336035947018236,430,8.26923076923077
偏动量,3,corr=0.7,0.7,0.5530155773491209,0.42303212051258526,-0.3067798236711421,0.12977771933808024,0.23451457420876365,0.39069767441860465,1.742908957792288,430,8.26923076923077
Stage28 (加动量),5,无约束,0.0,0.5369659424437294,0.5454087721875317,-0.19240976524913334,0.10494197382142101,0.17818225802062196,0.3813953488372093,1.2823597086878316,430,8.26923076923077
偏质量,3,corr=0.7,0.7,0.5343369208982789,0.5307191568461735,-0.16832264687195053,0.0893320532259978,0.14152977654082452,0.36046511627906974,1.0290229243978715,430,8.26923076923077
Stage28 (加动量),5,corr=0.8,0.8,0.5233773280140201,0.457083594824553,-0.2146994596702233,0.0981356008329548,0.16758281139472106,0.3813953488372093,1.1686706850478,430,8.26923076923077
偏动量,5,无约束,0.0,0.5216328123332354,0.5400696427374251,-0.20685746048913312,0.11171743478393714,0.20501905094393472,0.3744186046511628,1.4007030561554332,430,8.26923076923077
Stage28 (加动量),5,corr=0.7,0.7,0.5176984931690998,0.4654676837090361,-0.20796595475026092,0.09680143124794216,0.1669196493144093,0.3883720930232558,1.1469788324001313,430,8.26923076923077
Stage28 (加动量),4,corr=0.7,0.7,0.5167154674469322,0.4672530562948726,-0.2120916535940468,0.09910047335645178,0.17341783383079717,0.386046511627907,1.1844780673689215,430,8.26923076923077
偏动量,8,无约束,0.0,0.5108124146300996,0.47994790769920775,-0.20927806006510896,0.10044256705559818,0.179993883625452,0.3767441860465116,1.2066338122499287,430,8.26923076923077
偏动量,6,无约束,0.0,0.5050925325534315,0.4834954150328807,-0.21561292742929772,0.10424786183388268,0.19405839750308507,0.3767441860465116,1.2705307134908481,430,8.26923076923077
偏动量,10,无约束,0.0,0.5036627355435075,0.49853030771670814,-0.19119915367135332,0.09531857291495394,0.16964382216710103,0.3883720930232558,1.123093503956757,430,8.26923076923077
偏质量,5,corr=0.8,0.8,0.5018250129995975,0.4972072462001676,-0.16613146639085186,0.08260176891139115,0.13711135269276897,0.37209302325581395,0.9276576327553465,430,8.26923076923077
Stage28 (加动量),10,无约束,0.0,0.49726433750645166,0.4653728645131285,-0.19613777385489772,0.09127719765808195,0.16173289576320282,0.38372093023255816,1.0591782214104706,430,8.26923076923077
Stage28 (加动量),8,无约束,0.0,0.49104261509764,0.4899974306843299,-0.1879658232212702,0.09210277043488735,0.16715287888407432,0.37906976744186044,1.0720955806754464,430,8.26923076923077
偏质量,4,corr=0.7,0.7,0.48896232313492405,0.41379732672119407,-0.1963682599999229,0.08125666104086049,0.13852834123899047,0.37209302325581395,0.9079414507289219,430,8.26923076923077
偏动量,8,corr=0.8,0.8,0.48145076162152584,0.44322927437554593,-0.20171667162005524,0.08940673399160737,0.16462110893272466,0.37209302325581395,1.0301734830497216,430,8.26923076923077
偏动量,4,无约束,0.0,0.4807542323617809,0.43675464643494005,-0.2473118044369751,0.1080145797060581,0.2240598829216425,0.36511627906976746,1.335376000899196,430,8.26923076923077
Stage28 (加动量),4,corr=0.8,0.8,0.4751269494766476,0.40340987227355435,-0.22431432681339358,0.09049061392891944,0.1712088860238624,0.37906976744186044,1.0469368130813974,430,8.26923076923077
偏质量,6,corr=0.8,0.8,0.4720420392692178,0.4884144765554643,-0.15449121330872406,0.07545574508059905,0.1295473828985572,0.3674418604651163,0.8249292669706565,430,8.26923076923077
偏动量,8,corr=0.7,0.7,0.4646102721899152,0.4432910443577005,-0.19402045353406672,0.08600752947387114,0.16350521643760332,0.37906976744186044,0.9783812732924813,430,8.26923076923077
偏动量,3,corr=0.8,0.8,0.46243024820257994,0.34347768297872644,-0.3067798236711421,0.10537202301918613,0.23181939997707204,0.38372093023255816,1.2897157184541292,430,8.26923076923077
偏动量,10,corr=0.8,0.8,0.4573126085254449,0.436240366984425,-0.1862144744849955,0.08123427068714628,0.15260310436266786,0.39069767441860465,0.9076147654032021,430,8.26923076923077
Stage28 (加动量),8,corr=0.8,0.8,0.4463511377210404,0.4201803161442472,-0.18790816814218447,0.07895531349606943,0.15107207785863813,0.3744186046511628,0.8746198499107805,430,8.26923076923077
偏质量,5,corr=0.7,0.7,0.4398237631913687,0.43774105599886237,-0.16613146639085186,0.072722563532571,0.1348839754542801,0.37209302325581395,0.7869297336345584,430,8.26923076923077
偏动量,10,corr=0.7,0.7,0.43864753719817606,0.4176603998867398,-0.18433457563729072,0.07698925257362332,0.14883810811581447,0.39069767441860465,0.8465592498110701,430,8.26923076923077
Stage28 (加动量),6,corr=0.8,0.8,0.43701073315588945,0.3992867355862898,-0.20271362029414342,0.08094085970612719,0.1627094438290748,0.3767441860465116,0.9033383091937845,430,8.26923076923077
Stage28 (加动量),10,corr=0.8,0.8,0.42985566687832677,0.42055968373327246,-0.17731523418336048,0.07457163880924522,0.14540942746964194,0.3813953488372093,0.8125605194354444,430,8.26923076923077
偏质量,8,corr=0.8,0.8,0.42803271910790563,0.45223995452985255,-0.15329590099012091,0.06932653129338506,0.12948665300002696,0.3674418604651163,0.7406848061119784,430,8.26923076923077
偏质量,6,corr=0.7,0.7,0.42454729584295775,0.4248911993248432,-0.1615673571308165,0.06864854814305787,0.12888902124175516,0.3674418604651163,0.7315795288999205,430,8.26923076923077
偏动量,3,无约束,0.0,0.42399744871174433,0.3182533096569842,-0.3067798236711421,0.097633694219327,0.2418196646024704,0.38372093023255816,1.1604878404756414,430,8.26923076923077
Stage28 (加动量),8,corr=0.7,0.7,0.4087364755242706,0.3849300391108383,-0.18868473693269072,0.07263042316711887,0.15033061893366104,0.37906976744186044,0.7856609150760814,430,8.26923076923077
偏质量,8,无约束,0.0,0.39001931715084925,0.3705776144310927,-0.1757029503466505,0.06511158018796648,0.1331945754471766,0.36046511627906974,0.6847538497670429,430,8.26923076923077
Stage28 (加动量),6,corr=0.7,0.7,0.38843815875439835,0.3465138703232959,-0.2058605990999518,0.0713335529411967,0.15831188361130064,0.3767441860465116,0.7678861996405246,430,8.26923076923077
偏质量,8,corr=0.7,0.7,0.38030120060635814,0.3548660267479347,-0.17510404450433936,0.062138476540748444,0.12728446842212374,0.37209302325581395,0.6462580147651844,430,8.26923076923077
Stage28 (加动量),10,corr=0.7,0.7,0.36801208359287674,0.35887819738987736,-0.17731523418336026,0.06363457161348829,0.13990150154521336,0.38372093023255816,0.6655317253366166,430,8.26923076923077
偏质量,10,无约束,0.0,0.3637968398603421,0.3405199152246373,-0.18133805358457544,0.06174921863362037,0.13455542306743437,0.3511627906976744,0.6412755885103556,430,8.26923076923077
偏质量,10,corr=0.7,0.7,0.34761747763288575,0.31660119005063087,-0.18184546215838227,0.05757248972465079,0.12650660810258035,0.36046511627906974,0.5886425854152346,430,8.26923076923077
偏质量,10,corr=0.8,0.8,0.3236474155990319,0.3051372600688893,-0.1794107707928838,0.05474491102658807,0.1282821848830021,0.3558139534883721,0.5538586579669458,430,8.26923076923077
