date,market_ret_5d,market_ret_20d,market_ret_60d,realized_vol_20d,vol_ratio_60_20,breadth_5d,breadth_20d,vix,vix_rank20,信用利差因子,real_rate,real_rate_diff,dxy_logret,宏观增长因子,cn_us_spread,vix_z,credit_z
2020-10-23,-0.019738861221179814,0.008154166985347907,-0.009287774810510163,0.18276632971441523,0.8896503391444196,0.23684210526315788,0.6052631578947368,0.09203208544649372,0.9,1.24274716000186,-0.95,-0.010000000000000009,0.007449799420366436,1.969627562026135,2.5031999999999996,0.48330490939138676,2.038788551461904
2020-10-26,-0.01948298139290929,-0.014804384636030666,0.022947010984519366,0.17057736110497296,0.8403913236070091,0.15789473684210525,0.39473684210526316,0.00509462528422907,0.6,1.242521696099242,-0.9,0.04999999999999993,-0.01040219502790263,1.973310428161125,2.3564,0.0015215503612970912,1.9898518310568503
2020-10-27,-0.0183257879175071,-0.001293671042853748,0.022329022709859522,0.1697540906697537,0.8462951822552446,0.2894736842105263,0.5,0.00509462528422907,0.6,1.242521696099242,-0.9,0.04999999999999993,-0.01040219502790263,1.973310428161125,2.3564,-0.0005591906140671102,1.9656789911591537
2020-10-28,-0.009177096687542578,0.017528670835014762,0.01956737302932085,0.16363289929873853,0.8259512811792387,0.3157894736842105,0.5789473684210527,0.00509462528422907,0.6,1.242521696099242,-0.9,0.04999999999999993,-0.01040219502790263,1.973310428161125,2.3564,-0.002642221340661491,1.9421382533378813
2020-10-29,-0.004999818535430825,0.01478909579429187,0.0005083193703220328,0.16342369742304058,0.8355619513650953,0.42105263157894735,0.5263157894736842,0.00509462528422907,0.6,1.242521696099242,-0.9,0.04999999999999993,-0.01040219502790263,1.973310428161125,2.3564,-0.004727574751052833,1.919200228685853
2020-10-30,-0.008907427742156127,0.01780407538277023,-0.010011206683889159,0.15887352381274059,0.8232690027325549,0.34210526315789475,0.6052631578947368,0.00509462528422907,0.6,1.242521696099242,-0.9,0.04999999999999993,-0.01040219502790263,1.973310428161125,2.3564,-0.0068152839808686685,1.8968374023382308
2020-11-02,0.002947310477154374,0.023525651266938535,-0.01150000158453804,0.1604832629380427,0.8426401694114924,0.42105263157894735,0.631578947368421,0.3221098014613597,1.0,1.242753736202455,-0.82,0.08000000000000007,0.013716640176338711,1.979072758131442,2.3443,1.7340647305171617,1.8985511859507527
2020-11-03,0.012763664114969797,0.0382785925702151,-0.011282690827053353,0.16818218727214465,0.8916634622218611,0.6842105263157895,0.7105263157894737,0.3221098014613597,1.0,1.242753736202455,-0.82,0.08000000000000007,0.013716640176338711,1.979072758131442,2.3443,1.7158550017234264,1.8766530121615435
2020-11-04,0.012863093425104702,0.03649740838687034,-0.004456855523464121,0.16749947944805035,0.8968363667086364,0.6842105263157895,0.6842105263157895,0.3221098014613597,1.0,1.242753736202455,-0.82,0.08000000000000007,0.013716640176338711,1.979072758131442,2.3443,1.698021733853555,1.8552834157028515
2020-11-05,0.026597874555470247,0.052037265163468543,0.002106927969370549,0.17250797757256303,0.9322092141691364,0.7894736842105263,0.7894736842105263,0.3221098014613597,1.0,1.242753736202455,-0.82,0.08000000000000007,0.013716640176338711,1.979072758131442,2.3443,1.6805505414424289,1.8344194368368505
2020-11-06,0.04099493663230113,0.028155053536402103,0.0005331865120891781,0.15648937554057732,0.8543520756984054,0.9210526315789473,0.6578947368421053,0.3221098014613597,1.0,1.242753736202455,-0.82,0.08000000000000007,0.013716640176338711,1.979072758131442,2.3443,1.6634277891523233,1.814039482270957
2020-11-09,0.05565332468552671,0.023084342571980394,0.03271165240024996,0.1461819621351034,0.8072112235723512,0.9473684210526315,0.6052631578947368,-0.42485225097771806,0.05,1.242780650237711,-0.82,0.0,-0.018170306946990462,1.987242155347812,2.3912999999999998,-2.3437545579211196,1.7967751542393575
2020-11-10,0.027591541336424746,0.009125199736889036,0.01966637203889941,0.15419471067367777,0.8593352536823861,0.7894736842105263,0.5526315789473685,-0.42485225097771806,0.05,1.242780650237711,-0.82,0.0,-0.018170306946990462,1.987242155347812,2.3912999999999998,-2.3144073387121407,1.7772134027139395
2020-11-11,0.011015781173019146,0.005108304162398401,0.018575001360600512,0.15730543723972423,0.884636181104088,0.6842105263157895,0.5263157894736842,-0.42485225097771806,0.05,1.242780650237711,-0.82,0.0,-0.018170306946990462,1.987242155347812,2.3912999999999998,-2.2859359164959656,1.758081489769057
2020-11-12,-0.000836877389435053,0.012535930254083234,0.033350956404328724,0.15611535263438397,0.8861111456037392,0.47368421052631576,0.5789473684210527,-0.42485225097771806,0.05,1.242780650237711,-0.82,0.0,-0.018170306946990462,1.987242155347812,2.3912999999999998,-2.258295510356655,1.7393621483547874
2020-11-13,-0.0024951849697227094,0.009853462699242465,0.027499716926745646,0.15668274166730664,0.8932665358884938,0.34210526315789475,0.47368421052631576,-0.42485225097771806,0.05,1.242780650237711,-0.82,0.0,-0.018170306946990462,1.987242155347812,2.3912999999999998,-2.231444489354924,1.7210390597494751
