date,width_z,stress,trend_ok,momentum_score,vol_high,vol_low,breadth,top_sector_conc,y_reg,y_cls
2024-04-09,-0.7474105896225594,5.108358896067725e-05,0,0.5,0.0,1.0,0.8157894736842105,1.0,-0.02489420262029618,1
2024-04-10,-0.806067638653425,0.007348916994298547,0,-0.5,0.0,1.0,0.3157894736842105,1.0,-0.005387646055065809,0
2024-04-11,-0.9107516625082882,4.297767918505175e-05,0,-0.5,0.0,1.0,0.2631578947368421,1.0,-0.005744953779285633,0
2024-04-12,-0.17103158512604136,0.3069163245763206,0,0.0,0.0,1.0,0.42105263157894735,1.0,0.015436233548843603,0
2024-04-15,0.4897744786229635,0.5208845348535743,0,0.5,0.0,1.0,0.6052631578947368,1.0,0.022852798908552296,0
2024-04-16,2.0076396266016556,0.9352962462987732,0,-0.5,0.0,0.0,0.13157894736842105,1.0,0.036948621878261756,0
2024-04-17,1.6295953881880945,0.8112763274812117,0,-0.5,0.0,0.0,0.7631578947368421,1.0,0.03942055480724238,0
2024-04-18,-0.8231698257039803,8.295822234969522e-05,0,0.0,0.0,0.0,0.5789473684210527,1.0,0.03921701188556237,0
2024-04-19,-0.8268481404709476,0.004634780149142614,0,-0.5,0.0,0.0,0.18421052631578946,1.0,0.04122402147680049,0
2024-04-22,-0.6902720011685258,0.036563521665378226,0,-0.5,0.0,0.0,0.42105263157894735,1.0,0.05224200453058958,0
2024-04-23,0.19802120493515527,0.3584934645304896,0,-0.5,0.0,0.0,0.4473684210526316,1.0,0.05784322268135145,0
2024-04-24,1.7288537193242564,0.7939463901724795,0,-0.5,0.0,0.0,0.7631578947368421,1.0,0.04286887349277446,0
2024-04-25,-0.8394045191365124,0.0003121051733133663,0,-0.5,0.0,0.0,0.42105263157894735,1.0,0.045602680237585735,0
2024-04-26,2.653554419257092,0.9993546846395513,1,1.0,0.0,0.0,0.9210526315789473,1.0,0.020329703447446335,0
2024-04-29,2.3353162082910908,0.906627908164759,1,1.0,0.0,0.0,0.8157894736842105,1.0,0.013622404717952286,0
2024-04-30,-0.5665667410666255,0.00032354033923097576,1,1.0,0.0,0.0,0.2894736842105263,1.0,0.02935439491090941,0
2024-05-06,2.582269239419817,0.9631155567564874,1,1.0,0.0,0.0,0.8947368421052632,0.6666666666666666,0.020269870978421034,0
2024-05-07,-0.4944045492588308,0.00013511782270221741,1,1.0,0.0,0.0,0.5,0.6666666666666666,0.011188825096625,0
2024-05-08,-0.49113603850196247,7.986596574657475e-05,0,1.0,0.0,0.0,0.21052631578947367,0.6666666666666666,0.021091310805031016,0
2024-05-09,-0.5408696834166254,0.0002402721926224255,0,1.0,0.0,0.0,0.7368421052631579,0.6666666666666666,-0.00016446683459836464,0
2024-05-10,-0.5068489127137392,0.008504026747269496,0,1.0,0.0,0.0,0.5263157894736842,0.6666666666666666,-0.015499334972773338,0
2024-05-13,-0.6849485114360789,0.0,0,1.0,0.0,0.0,0.3684210526315789,0.6666666666666666,-0.002234741352361569,0
2024-05-14,-0.7141764516451604,0.0,0,0.5,0.0,0.0,0.34210526315789475,0.6666666666666666,-0.008298402652510584,0
2024-05-15,1.897555719865177,0.8436612868624233,0,1.0,0.0,0.0,0.3684210526315789,0.6666666666666666,-0.004394466668853458,0
2024-05-16,2.163892473533921,0.9549070759608023,0,1.0,0.0,0.0,0.631578947368421,0.6666666666666666,-0.01766132719281066,0
2024-05-17,0.769205172882631,0.6176327960437671,0,1.0,0.0,0.0,0.7105263157894737,0.6666666666666666,-0.027311345094191197,1
2024-05-20,1.7247724179609139,0.9174724960545871,0,1.0,0.0,0.0,0.7631578947368421,0.3333333333333333,-0.03469664588793542,1
2024-05-21,-0.926216672333685,0.003221333539085553,0,1.0,0.0,0.0,0.15789473684210525,0.3333333333333333,-0.020892480781560252,1
2024-05-22,-1.0144083630329905,6.435489584306579e-05,0,1.0,0.0,1.0,0.6052631578947368,0.3333333333333333,-0.027121968520639306,1
2024-05-23,0.21180436106496142,0.4606295846480659,0,0.5,0.0,0.0,0.18421052631578946,0.3333333333333333,-0.01484346768271616,0
2024-05-24,-0.5811191146598813,0.1415352508925349,0,0.0,0.0,0.0,0.02631578947368421,0.3333333333333333,-0.004284634006027854,0
2024-05-27,-0.6645589166452402,0.1198111448867952,0,0.0,0.0,0.0,0.9210526315789473,0.3333333333333333,-0.017764378772383016,0
2024-05-28,-0.9392456297451272,0.0001142567183959926,0,0.0,0.0,0.0,0.23684210526315788,0.3333333333333333,-0.010268976696537924,0
2024-05-29,-1.0760497564674865,0.00043223038537042944,0,0.0,0.0,0.0,0.42105263157894735,0.3333333333333333,-0.010922351856094137,0
2024-05-30,0.2851295207589078,0.5910714878767621,0,-0.5,0.0,1.0,0.18421052631578946,0.3333333333333333,-0.0004255704572661001,0
2024-05-31,-1.164243879339404,2.2292103496227995e-05,0,0.0,0.0,1.0,0.39473684210526316,0.3333333333333333,-0.003109583994602483,0
2024-06-03,-1.1583776269722192,0.048408242993927424,0,-0.5,0.0,1.0,0.5,0.6666666666666666,-0.00012408279494591223,0
2024-06-04,-1.1363097563400555,0.037550009125705,0,-0.5,0.0,1.0,0.8421052631578947,0.6666666666666666,-0.008354249128791902,0
2024-06-05,-1.2087005101536858,0.00017204403231585344,0,-0.5,0.0,1.0,0.23684210526315788,0.6666666666666666,-0.00878796870216303,0
2024-06-06,-0.8309886710961961,0.20182404754767827,0,0.0,0.0,1.0,0.5,0.6666666666666666,-0.012075088394236766,0
2024-06-07,-1.2241731300835845,0.0018867674940233694,0,-0.5,0.0,1.0,0.39473684210526316,0.6666666666666666,-0.022634193336961372,1
2024-06-11,1.2004167213294046,0.9999723441869391,0,-0.5,0.0,1.0,0.5263157894736842,0.6666666666666666,-0.024604364958395464,1
2024-06-12,-1.1497818163426767,0.0009783081270512393,0,-0.5,0.0,1.0,0.47368421052631576,0.6666666666666666,-0.014797765640390259,0
2024-06-13,-0.6972943434918583,0.24327847683513792,0,-0.5,0.0,1.0,0.39473684210526316,0.6666666666666666,-0.02504058085414973,1
2024-06-14,-0.47025929050773263,0.35734670077885844,0,-0.5,0.0,1.0,0.5789473684210527,0.6666666666666666,-0.026589217763130835,1
2024-06-17,-1.1311050363100459,0.0521222119114828,0,-0.5,0.0,1.0,0.3684210526315789,0.6666666666666666,-0.020251205551042317,1
2024-06-18,-1.2600739484698869,8.592751535402148e-05,0,-0.5,0.0,1.0,0.631578947368421,0.6666666666666666,-0.02507732199879875,1
2024-06-19,-1.0599733281301995,0.09953245714333243,0,0.0,0.0,1.0,0.4473684210526316,0.6666666666666666,-0.020801036026325548,1
2024-06-20,0.38218898223235775,0.7895969773197067,0,-1.0,0.0,1.0,0.2894736842105263,0.6666666666666666,-0.021542945765878674,1
2024-06-21,-1.2584272766494422,0.0014651344439302826,0,-1.0,0.0,1.0,0.34210526315789475,0.6666666666666666,-0.016874630207649566,0
2024-06-24,0.8197263554951969,0.9999436930763681,0,-1.0,0.0,1.0,0.10526315789473684,0.6666666666666666,-0.01328021698373949,0
2024-06-25,0.7729026629473776,0.9914295559272605,0,-1.0,0.0,1.0,0.39473684210526316,0.6666666666666666,0.004974838880934751,0
2024-06-26,0.919543428844654,0.9981609392250436,0,-1.0,0.0,1.0,0.868421052631579,0.6666666666666666,-0.009817043219553345,0
2024-06-27,0.3843868271010653,0.7785265946088381,0,-1.0,0.0,1.0,0.07894736842105263,0.6666666666666666,0.015803694674638713,0
2024-06-28,-0.6312545496871848,0.3130501837309704,0,-1.0,0.0,1.0,0.631578947368421,0.6666666666666666,0.010241026603251546,0
2024-07-01,-1.1245224960473499,0.014848087239396967,0,-0.5,0.0,1.0,0.5789473684210527,0.6666666666666666,0.005182916379104396,0
