date,width_z,stress,fired,alert_level
2021-11-22,1.4422058333281174,0.908932942332142,1,green
2021-11-23,-0.7266574969460724,0.06142993031165182,0,green
2021-11-24,-0.9095166124049403,0.00014194902035714077,0,green
2021-11-25,-0.9606383618973641,0.000268859539131602,0,green
2021-11-26,1.2775910270899589,0.9237990707052066,1,yellow
2021-11-29,-0.9919812067693498,0.00014962154714552822,0,green
2021-11-30,-1.0118348791027671,0.003352166269955586,0,green
2021-12-01,-1.013705887672795,0.0023003530761249633,0,green
2021-12-02,-0.9894773415326823,0.015680886909832315,0,green
2021-12-03,-0.570100089280518,0.23319354521648392,0,green
2021-12-06,-0.9138310297655111,0.04874801453908755,0,green
2021-12-07,1.3749918768142733,0.9895730884249694,1,red
2021-12-08,1.5504647203027462,0.9984621968444448,1,red
2021-12-09,0.5438072393662416,0.6991566514776679,1,green
2021-12-10,-1.0374635469629705,6.901063113690328e-05,0,green
2021-12-13,-1.0334992152600297,0.0015316912186419825,0,green
2021-12-14,-0.9405050915398313,0.05895186466807079,0,green
2021-12-15,-0.362168526906833,0.33161859665377774,0,green
2021-12-16,1.1841229841877274,0.9570934421096378,1,yellow
2021-12-17,1.35286884961107,0.997251246956091,1,red
2021-12-20,1.382824466460345,0.9996418034866077,1,red
2021-12-21,-0.8660897360479088,0.0007067805354588575,0,green
2021-12-22,-0.8719492691959703,0.00039052235038647783,0,green
2021-12-23,-0.8461923855266912,0.006056729401247119,0,green
2021-12-24,-0.8618114879726101,0.007821112267688288,0,green
2021-12-27,-0.8973278954912666,6.866382657877888e-05,0,green
2021-12-28,-0.8652203757722879,0.007710690764889064,0,green
2021-12-29,-0.7968123303920591,0.01185100470979689,0,green
2021-12-30,-0.7154991637084139,0.03794619647739247,0,green
2021-12-31,-0.7748969481397684,0.012603029309005729,0,green
2022-01-04,1.3792345933456351,0.8536085771270093,1,green
2022-01-05,1.8950763455259305,0.9989820497720524,1,red
2022-01-06,0.4399585317799769,0.5166029306790472,0,green
2022-01-07,-0.4185220454808471,0.1561296863202539,0,green
2022-01-10,-0.7424365006692162,3.3090320733210766e-05,0,green
2022-01-11,-0.7199302372340628,0.008250469585021174,0,green
2022-01-12,1.2562545691201585,0.7327233098352853,1,green
2022-01-13,-0.2441911950427895,0.17266445650690537,0,green
2022-01-14,1.7764311270941735,0.9136708493230368,1,green
2022-01-17,-0.6287242295212654,0.0037463949296917924,0,green
2022-01-18,-0.7069463383364173,0.0004368710564758989,0,green
2022-01-19,1.6819777140245213,0.9410705288941271,1,yellow
2022-01-20,1.7337409526624645,0.9507625127559184,1,yellow
2022-01-21,1.3867308235950584,0.8416010408991582,1,green
2022-01-24,-0.6675785600927192,9.07428481667479e-05,0,green
2022-01-25,2.103629222022381,0.9998636413209726,1,red
2022-01-26,-0.5242170311865857,8.753589478666022e-05,0,green
2022-01-27,2.1442620902674374,0.9999973884020373,1,red
2022-01-28,-0.3923779485305532,0.014865735504349992,0,green
2022-02-07,2.298179262277026,0.9985039629264935,1,red
2022-02-08,0.6037781138602855,0.39673884314693336,0,green
2022-02-09,-0.18733412655132042,0.023581058329910937,0,green
2022-02-10,-0.2797762114955454,0.0003919729612692669,0,green
2022-02-11,0.9473539987645816,0.5127958871869726,0,green
2022-02-14,0.5046520725364984,0.3174524410994962,0,green
2022-02-15,2.0445740017197194,0.8482155514505122,1,green
2022-02-16,-0.20527680541627713,0.0015637346021792336,0,green
2022-02-17,-0.2576188855012267,0.0,0,green
2022-02-18,-0.28606425347062064,0.0,0,green
2022-02-21,-0.3344406080728701,0.0,0,green
2022-02-22,2.2114761714761535,0.9844158812583853,1,red
2022-02-23,1.386476801881994,0.6811072553448136,1,green
2022-02-24,2.3820749239555714,0.9947684606463968,1,red
2022-02-25,0.02689069280464292,0.05578128039673434,0,green
2022-02-28,-0.09444691198804495,9.009778981653523e-05,0,green
2022-03-01,-0.17060868948031147,0.0004919125150991544,0,green
2022-03-02,-0.1763714486651877,0.00127642310864642,0,green
2022-03-03,-0.2757328413088308,0.0023892606274664944,0,green
