date,width_z,stress,trigger,cross_dispersion,anomaly_frac,max_hw,top_assets,fwd_5d_ret,fwd_10d_ret,classification
2023-08-11,2.09,0.89,both,0.0134,0.421,0.0809,"512880:0.0809, 512000:0.0796, 512980:0.0643",-0.0235,-0.0342,TP
2023-08-18,2.12,0.911,both,0.0111,0.368,0.0809,"512880:0.0809, 512000:0.0797, 512980:0.0698",-0.0107,0.0177,FP
2023-08-23,2.09,0.952,both,0.0138,0.342,0.0841,"512880:0.0841, 512000:0.0825, 512980:0.0721",0.0302,0.0338,FP
2023-08-25,1.62,0.784,stress,0.0156,0.263,0.0688,"515880:0.0688, 512980:0.0680, 512880:0.0634",0.0284,0.0181,FP
2023-08-29,2.56,0.979,both,0.0145,0.395,0.0796,"515880:0.0796, 512980:0.0774, 512880:0.0713",0.006,-0.0021,neutral
2023-09-22,2.17,0.999,both,0.016,0.395,0.0721,"515880:0.0721, 512980:0.0694, 512200:0.0671",-0.0148,-0.0211,TP
2023-10-10,0.91,0.747,stress,0.0115,0.263,0.0576,"515880:0.0576, 512980:0.0537, 515050:0.0480",-0.0007,-0.0317,TP
2023-10-19,1.88,0.989,stress,0.0112,0.368,0.0612,"515880:0.0612, 512980:0.0565, 515050:0.0508",-0.0097,0.0077,neutral
2023-10-27,2.15,0.947,both,0.0114,0.316,0.0629,"515880:0.0629, 512980:0.0604, 512880:0.0525",0.0142,0.0209,FP
2023-10-30,2.07,0.938,both,0.0142,0.263,0.054,"512980:0.0540, 512170:0.0540, 515880:0.0538",0.0207,0.0138,FP
2023-11-06,2.31,0.989,both,0.0141,0.316,0.0638,"512980:0.0638, 515880:0.0577, 512480:0.0561",-0.0069,-0.0021,neutral
2023-11-13,1.64,0.875,stress,0.0105,0.158,0.059,"512980:0.0590, 515880:0.0570, 512480:0.0494",0.0048,-0.0088,neutral
2023-11-15,1.53,0.867,stress,0.0091,0.211,0.0568,"512980:0.0568, 515880:0.0542, 515030:0.0491",-0.0171,-0.0245,TP
2023-11-27,1.19,0.879,stress,0.0113,0.132,0.0533,"512980:0.0533, 515880:0.0527, 515030:0.0460",-0.0066,-0.0117,TP
2023-12-04,0.86,0.868,stress,0.0108,0.132,0.0538,"512980:0.0538, 515880:0.0483, 512200:0.0452",-0.0051,-0.0203,TP
2023-12-05,1.55,1.0,stress,0.0079,0.632,0.0599,"512980:0.0599, 515880:0.0527, 512200:0.0500",0.0143,-0.0018,neutral
2023-12-13,1.55,0.975,stress,0.0112,0.289,0.0587,"512980:0.0587, 515880:0.0584, 512200:0.0543",-0.0123,-0.0115,TP
2023-12-20,1.45,0.981,stress,0.0135,0.237,0.0635,"512980:0.0635, 515880:0.0554, 512200:0.0542",0.0008,-0.0017,neutral
2023-12-22,1.53,0.948,stress,0.02,0.132,0.085,"512980:0.0850, 515880:0.0536, 513050:0.0517",0.0185,-0.024,TP
2023-12-28,2.1,1.0,both,0.0159,0.5,0.0852,"512980:0.0852, 515880:0.0600, 515030:0.0573",-0.0278,-0.0345,TP
2024-01-08,1.9,0.974,stress,0.0118,0.316,0.0784,"512980:0.0784, 515880:0.0569, 515030:0.0564",0.0076,-0.0254,TP
2024-01-17,2.37,1.0,both,0.0117,0.632,0.0796,"512980:0.0796, 513520:0.0782, 515030:0.0636",0.0112,-0.0249,TP
2024-01-22,2.77,1.0,both,0.0266,0.763,0.0851,"513520:0.0851, 512980:0.0727, 515880:0.0669",0.0147,-0.0314,TP
2024-01-24,2.57,0.869,both,0.018,0.237,0.0961,"513520:0.0961, 512980:0.0709, 515880:0.0644",-0.0361,-0.0017,neutral
2024-01-25,3.0,0.994,both,0.0227,0.316,0.1183,"513520:0.1183, 512980:0.0778, 512200:0.0733",-0.0475,-0.003,neutral
2024-01-29,1.73,0.635,stress,0.0181,0.211,0.0992,"513520:0.0992, 515880:0.0647, 512980:0.0634",-0.0461,0.0276,FP
2024-01-30,2.72,0.963,both,0.0189,0.316,0.1201,"513520:0.1201, 512200:0.0785, 515880:0.0776",0.0048,0.0492,FP
2024-01-31,1.69,0.602,stress,0.0148,0.263,0.1053,"513520:0.1053, 512200:0.0671, 515880:0.0650",0.0345,0.0748,FP
2024-02-06,3.48,0.88,both,0.0311,0.658,0.1063,"513520:0.1063, 512980:0.0968, 515880:0.0955",0.0445,0.0529,FP
2024-04-16,2.01,0.935,both,0.0145,0.316,0.0841,"512980:0.0841, 515880:0.0831, 515030:0.0786",-0.0008,0.0368,FP
2024-04-17,1.63,0.811,stress,0.0167,0.263,0.0828,"515880:0.0828, 512980:0.0814, 515030:0.0734",-0.0025,0.0392,FP
2024-04-24,1.73,0.794,stress,0.0133,0.289,0.0849,"515880:0.0849, 512980:0.0731, 515050:0.0723",0.0418,0.0425,FP
2024-04-26,2.65,0.999,both,0.0173,0.447,0.0964,"515880:0.0964, 515050:0.0827, 512980:0.0787",0.017,0.0204,FP
2024-04-29,2.34,0.907,both,0.0179,0.289,0.0908,"515880:0.0908, 512200:0.0848, 515050:0.0789",0.0118,0.0138,FP
2024-05-06,2.58,0.963,both,0.016,0.342,0.0911,"515880:0.0911, 512200:0.0887, 513050:0.0822",0.0007,0.0203,FP
2024-05-15,1.9,0.844,stress,0.0104,0.026,0.0843,"512200:0.0843, 515880:0.0725, 513050:0.0707",0.0176,-0.004,neutral
2024-05-16,2.16,0.955,both,0.011,0.132,0.0914,"512200:0.0914, 515880:0.0763, 513050:0.0732",-0.0019,-0.0175,TP
2024-05-17,0.77,0.618,stress,0.0152,0.079,0.0898,"512200:0.0898, 515880:0.0619, 513050:0.0603",-0.0253,-0.0274,TP
2024-05-20,1.72,0.917,stress,0.0156,0.132,0.1058,"512200:0.1058, 161226:0.0740, 513050:0.0694",-0.0214,-0.035,TP
2024-06-11,1.2,1.0,stress,0.0173,0.237,0.0996,"161226:0.0996, 512200:0.0982, 512400:0.0681",0.0042,-0.0248,TP
2024-06-20,0.38,0.79,stress,0.0119,0.132,0.0798,"161226:0.0798, 512200:0.0680, 515880:0.0580",-0.0217,-0.0215,TP
2024-06-24,0.82,1.0,stress,0.0111,0.316,0.0868,"161226:0.0868, 512200:0.0761, 515880:0.0648",0.0017,-0.0131,TP
2024-06-25,0.77,0.991,stress,0.0136,0.211,0.0848,"161226:0.0848, 512200:0.0758, 515880:0.0671",0.0038,0.0053,neutral
2024-06-26,0.92,0.998,stress,0.0132,0.263,0.0843,"161226:0.0843, 512200:0.0745, 515880:0.0689",-0.0051,-0.0096,neutral
2024-06-27,0.38,0.779,stress,0.0092,0.211,0.0733,"161226:0.0733, 512200:0.0669, 515880:0.0629",0.0002,0.016,FP
2024-07-04,0.88,0.993,stress,0.0121,0.263,0.0806,"512200:0.0806, 161226:0.0752, 515880:0.0701",0.0158,0.0171,FP
2024-07-05,0.65,0.89,stress,0.0118,0.211,0.0755,"512200:0.0755, 161226:0.0700, 515880:0.0659",0.0114,0.0128,FP
2024-07-08,0.97,0.999,stress,0.0131,0.316,0.0811,"512200:0.0811, 161226:0.0724, 515880:0.0677",0.0202,0.0203,FP
2024-07-09,1.01,0.999,stress,0.0156,0.316,0.0811,"512200:0.0811, 515880:0.0779, 515050:0.0727",0.0115,-0.0113,TP
2024-07-11,1.14,0.999,stress,0.0115,0.395,0.082,"512200:0.0820, 515880:0.0763, 515050:0.0715",0.0013,-0.0418,TP
2024-07-12,1.19,0.987,stress,0.0177,0.237,0.0829,"512200:0.0829, 515880:0.0736, 515050:0.0703",0.0013,-0.0302,TP
2024-07-23,1.63,1.0,stress,0.0172,0.526,0.0764,"512200:0.0764, 512400:0.0727, 515050:0.0709",-0.0163,-0.026,TP
2024-07-25,1.53,0.936,stress,0.0145,0.263,0.0737,"512200:0.0737, 512400:0.0702, 515880:0.0668",0.0266,-0.0062,neutral
2024-07-31,2.44,1.0,both,0.0165,0.605,0.0765,"512400:0.0765, 512200:0.0761, 513520:0.0729",-0.0358,-0.0377,TP
2024-08-02,2.12,0.907,both,0.0171,0.237,0.0733,"513520:0.0733, 515880:0.0710, 512400:0.0709",-0.0166,-0.0059,neutral
