date,coverage,coverage_gap,downside_violation,upside_violation,alert_level,trigger_confidence,fired
2022-01-12,0.988157894736842,0.0,0.005263157894736842,0.006578947368421052,green,no_fire,0
2022-01-13,0.9894736842105264,0.0,0.003947368421052633,0.006578947368421052,green,no_fire,0
2022-01-14,0.9894736842105264,0.0,0.003947368421052633,0.006578947368421052,green,no_fire,0
2022-01-17,0.988157894736842,0.0,0.003947368421052633,0.007894736842105265,green,no_fire,0
2022-01-18,0.9855263157894738,0.0,0.003947368421052633,0.010526315789473684,green,no_fire,0
2022-01-19,0.9868421052631581,0.0,0.003947368421052633,0.009210526315789475,green,no_fire,0
2022-01-20,0.9868421052631581,0.0,0.003947368421052633,0.009210526315789475,green,no_fire,0
2022-01-21,0.9881578947368422,0.0,0.003947368421052633,0.007894736842105263,green,no_fire,0
2022-01-24,0.9907894736842107,0.0,0.0013157894736842105,0.007894736842105263,green,no_fire,0
2022-01-25,0.9894736842105265,0.0,0.002631578947368421,0.007894736842105263,green,no_fire,0
2022-01-26,0.9881578947368422,0.0,0.003947368421052633,0.007894736842105263,green,no_fire,0
2022-01-27,0.9894736842105264,0.0,0.002631578947368421,0.007894736842105263,green,no_fire,0
2022-01-28,0.9907894736842104,0.0,0.002631578947368421,0.006578947368421052,green,no_fire,0
2022-02-07,0.9907894736842104,0.0,0.002631578947368421,0.006578947368421052,green,no_fire,0
2022-02-08,0.9907894736842104,0.0,0.002631578947368421,0.006578947368421052,green,no_fire,0
2022-02-09,0.9894736842105264,0.0,0.002631578947368421,0.007894736842105263,green,no_fire,0
2022-02-10,0.9894736842105264,0.0,0.002631578947368421,0.007894736842105263,green,skip_trend,0
2022-02-11,0.9907894736842104,0.0,0.002631578947368421,0.006578947368421052,green,no_fire,0
2022-02-14,0.988157894736842,0.0,0.005263157894736842,0.006578947368421052,green,no_fire,0
2022-02-15,0.988157894736842,0.0,0.005263157894736842,0.006578947368421052,green,no_fire,0
2022-02-16,0.988157894736842,0.0,0.005263157894736842,0.006578947368421052,green,no_fire,0
2022-02-17,0.988157894736842,0.0,0.005263157894736842,0.006578947368421052,green,no_fire,0
2022-02-18,0.988157894736842,0.0,0.005263157894736842,0.006578947368421052,green,no_fire,0
2022-02-21,0.9894736842105264,0.0,0.005263157894736842,0.005263157894736842,green,no_fire,0
2022-02-22,0.9921052631578948,0.0,0.005263157894736842,0.002631578947368421,green,no_fire,0
2022-02-23,0.9894736842105264,0.0,0.005263157894736842,0.005263157894736842,green,no_fire,0
2022-02-24,0.9894736842105264,0.0,0.005263157894736842,0.005263157894736842,green,no_fire,0
2022-02-25,0.9894736842105264,0.0,0.005263157894736842,0.005263157894736842,green,no_fire,0
2022-02-28,0.9894736842105264,0.0,0.005263157894736842,0.005263157894736842,green,no_fire,0
